gen, ranking_scalar_uniform_best, ranking_scalar_uniform_ave
 213,   0.7082,   0.6157
 214,   0.7052, 0.617237
 215,   0.7052, 0.622077
 216,   0.7052,  0.61732
 217,   0.7077, 0.621901
 218,   0.7072, 0.619003
 219,   0.7072, 0.613016
 220,   0.7061, 0.620741
 221,   0.7061, 0.616775
 222,   0.7066, 0.612281
 223,   0.7077, 0.606332
 224,   0.7077, 0.613673
 225,   0.7077, 0.622162
 226,   0.7098, 0.617418
 227,   0.7098, 0.610857
 228,   0.7098, 0.615813
 229,   0.7098, 0.609252
 230,   0.7084, 0.611485
 231,   0.7084, 0.610703
 232,   0.7084, 0.614927
 233,   0.7119, 0.619085
 234,   0.7119, 0.622259
 235,   0.7119, 0.613692
 236,   0.7119, 0.609228
 237,   0.7116, 0.621897
 238,   0.7116,  0.61659
 239,   0.7125,  0.61241
 240,   0.7125, 0.619039
 241,   0.7125, 0.616772
 242,   0.7125, 0.612995
 243,   0.7125, 0.615405
 244,   0.7125, 0.619294
 245,   0.7125, 0.619541
 246,   0.7122, 0.615749
 247,   0.7122, 0.623882
 248,   0.7122, 0.621517
 249,   0.7105, 0.623591
 250,   0.7105, 0.617239
 251,   0.7105, 0.608428
 252,   0.7105, 0.617832
 253,   0.7105, 0.622008
 254,   0.7105, 0.619786
 255,   0.7105, 0.617205
 256,   0.7105,  0.61364
 257,   0.7106, 0.609167
 258,   0.7106, 0.619036
 259,   0.7106, 0.622107
 260,   0.7106, 0.611035
 261,   0.7106, 0.611023
 262,   0.7106, 0.617757
 263,   0.7106, 0.610684
 264,   0.7136, 0.616036
 265,   0.7136, 0.617914
 266,    0.711, 0.619467
 267,    0.711,  0.62543
 268,    0.711, 0.615083
 269,   0.7162, 0.607651
 270,   0.7162, 0.621053
 271,   0.7162, 0.622235
 272,   0.7162, 0.616247
 273,   0.7136, 0.614372
 274,   0.7136, 0.614208
 275,   0.7136, 0.619852
 276,   0.7136, 0.621594
 277,   0.7136, 0.620733
 278,   0.7136, 0.618657
 279,   0.7136, 0.617738
 280,   0.7136, 0.613753
 281,   0.7136, 0.622138
 282,   0.7136, 0.622146
 283,   0.7136, 0.619041
 284,   0.7151, 0.621756
 285,   0.7151, 0.624851
 286,   0.7151, 0.617595
 287,   0.7151, 0.625934
 288,   0.7151, 0.621475
 289,   0.7151, 0.621048
 290,   0.7151, 0.631199
 291,   0.7151, 0.618929
 292,   0.7151, 0.614188
 293,   0.7151, 0.612597
 294,   0.7133, 0.618803
 295,   0.7133, 0.630045
 296,   0.7133,  0.62648
 297,   0.7133, 0.631021
 298,   0.7133, 0.629201
 299,   0.7133, 0.628789
 300,   0.7133, 0.624825
 301,   0.7133,  0.61242
 302,   0.7133, 0.615005
 303,   0.7133,  0.61693
 304,   0.7153, 0.617709
 305,   0.7153, 0.615632
 306,   0.7153, 0.616858
 307,   0.7153, 0.615343
 308,   0.7153, 0.616806
 309,   0.7176, 0.610632
 310,   0.7176, 0.612697
 311,   0.7176, 0.617724
 312,   0.7176, 0.617287
 313,   0.7176, 0.619981
 314,   0.7176, 0.618683
 315,   0.7176, 0.620813
 316,   0.7176, 0.619978
 317,   0.7176, 0.615117
 318,   0.7161, 0.620017
 319,    0.716, 0.615554
 320,    0.716, 0.623135
 321,    0.716,  0.63127
 322,    0.716, 0.625232
 323,    0.716, 0.618463
 324,    0.716, 0.620736
 325,    0.716, 0.622559
 326,    0.716, 0.621517
 327,    0.716, 0.621055
 328,    0.716, 0.625426
 329,    0.716, 0.628353
 330,    0.716,  0.62209
 331,    0.716, 0.623423
 332,   0.7185, 0.627642
 333,   0.7185, 0.626913
 334,   0.7185, 0.624111
 335,   0.7185, 0.621885
 336,   0.7138, 0.620563
 337,   0.7138, 0.617294
 338,   0.7138, 0.610252
 339,   0.7138, 0.615762
 340,   0.7138, 0.626735
 341,   0.7138, 0.625293
 342,   0.7138, 0.629594
 343,   0.7138, 0.623257
 344,   0.7139, 0.617918
 345,   0.7161, 0.625665
 346,   0.7128,   0.6218
 347,   0.7128,  0.61433
 348,   0.7128, 0.622702
 349,   0.7128,  0.61226
 350,   0.7132, 0.622651
 351,   0.7132, 0.623855
 352,   0.7132, 0.615591
 353,   0.7132, 0.621787
 354,   0.7132, 0.624435
 355,   0.7132, 0.626738
 356,   0.7132, 0.623289
 357,   0.7132, 0.614715
 358,   0.7132, 0.620188
 359,   0.7126, 0.618565
 360,   0.7126, 0.616122
 361,   0.7126,  0.61129
 362,   0.7126,  0.61402
 363,   0.7093, 0.614658
 364,   0.7093, 0.613946
 365,   0.7147, 0.616149
 366,   0.7147, 0.615503
 367,   0.7147, 0.617712
 368,   0.7147, 0.619868
 369,   0.7111,   0.6129
 370,   0.7156,  0.61287
 371,   0.7156, 0.626291
 372,   0.7156, 0.619262
 373,   0.7156, 0.616265
 374,   0.7156, 0.617552
 375,   0.7066,  0.61156
 376,   0.7126, 0.606966
 377,   0.7126, 0.616257
 378,   0.7127, 0.612223
 379,   0.7122,   0.6176
 380,   0.7122, 0.617065
 381,   0.7122, 0.615739
 382,   0.7133, 0.607793
 383,   0.7113, 0.618399
 384,   0.7113, 0.620375
 385,   0.7113, 0.620365
 386,   0.7113, 0.616518
 387,   0.7135, 0.615291
 388,   0.7135, 0.629022
 389,   0.7135, 0.621201
 390,   0.7179, 0.626617
 391,   0.7179, 0.623241
 392,   0.7179, 0.621118
 393,   0.7179, 0.621545
 394,   0.7154,  0.62129
 395,   0.7154, 0.627864
 396,   0.7154, 0.633087
 397,   0.7154, 0.629361
 398,   0.7154, 0.623755
 399,   0.7154, 0.627509
 400,   0.7154, 0.623668
 401,   0.7154, 0.617524
 402,    0.716, 0.629101
 403,    0.716, 0.627215
 404,    0.716, 0.626396
 405,    0.716, 0.627881
 406,    0.716, 0.627413
 407,    0.716, 0.617614
 408,    0.716, 0.622436
 409,    0.716, 0.625261
 410,    0.716, 0.620245
 411,    0.716, 0.630721
 412,    0.716, 0.626182
 413,   0.7162,  0.62573
 414,   0.7162, 0.626691
 415,   0.7162, 0.621741
 416,   0.7168, 0.627524
 417,   0.7168,  0.62743
 418,   0.7177, 0.632793
 419,   0.7177, 0.626144
 420,   0.7182, 0.624085
 421,   0.7182, 0.632689
 422,   0.7182, 0.628119
 423,   0.7182, 0.621371
 424,   0.7182, 0.634103
 425,   0.7182, 0.634281
 426,   0.7169, 0.629448
 427,   0.7169, 0.631608
 428,   0.7169, 0.630422
 429,   0.7169, 0.634853
 430,   0.7131, 0.629886
 431,   0.7131, 0.628076
 432,   0.7131, 0.624514
 433,   0.7172, 0.627509
 434,   0.7172,  0.62829
 435,   0.7172, 0.630393
 436,   0.7172, 0.625618
 437,   0.7172,  0.62605
 438,   0.7201, 0.628316
 439,   0.7201, 0.630433
 440,   0.7201, 0.628739
 441,   0.7201, 0.631684
 442,   0.7201,  0.62987
 443,   0.7201, 0.624073
 444,   0.7201, 0.626103
 445,   0.7201, 0.624352
 446,   0.7219, 0.626471
 447,   0.7219, 0.632801
 448,   0.7219,  0.63324
 449,   0.7219, 0.631413
 450,   0.7219, 0.626129
 451,   0.7219, 0.628765
 452,   0.7219, 0.635169
 453,   0.7219, 0.636559
 454,   0.7219, 0.638011
 455,   0.7219, 0.636042
 456,   0.7219,  0.63269
 457,   0.7219, 0.627761
 458,   0.7219,   0.6309
 459,   0.7219, 0.637039
 460,   0.7214, 0.640024
 461,   0.7214, 0.635572
 462,   0.7214, 0.631638
 463,   0.7214, 0.630579
 464,   0.7214, 0.624026
 465,    0.723,  0.62849
 466,    0.723, 0.631544
 467,   0.7209, 0.635605
 468,   0.7209, 0.632354
 469,   0.7209, 0.632403
 470,   0.7209, 0.629404
 471,   0.7209, 0.628941
 472,   0.7209, 0.631559
 473,   0.7209,  0.63882
 474,   0.7209, 0.639779
 475,   0.7209, 0.634372
 476,   0.7209, 0.643362
 477,   0.7209, 0.639231
 478,   0.7209, 0.639574
 479,   0.7209, 0.638358
 480,   0.7209, 0.644709
 481,   0.7248, 0.637725
 482,   0.7248,  0.63307
 483,   0.7248, 0.642894
 484,   0.7248, 0.643025
 485,   0.7248, 0.637264
 486,   0.7248,  0.63616
 487,   0.7248,  0.63984
 488,   0.7248, 0.638804
 489,   0.7248, 0.641141
 490,   0.7248, 0.637076
 491,   0.7248, 0.642335
 492,   0.7248, 0.637026
 493,   0.7248, 0.628272
 494,   0.7248,   0.6379
 495,   0.7248, 0.627906
 496,   0.7256, 0.635355
 497,   0.7256, 0.629325
 498,    0.724,  0.63195
 499,   0.7244, 0.628806
 500,   0.7245, 0.641288
 501,   0.7245, 0.634386
 502,   0.7235, 0.637064
 503,   0.7229,  0.64281
 504,   0.7256, 0.641819
 505,   0.7256, 0.637573
 506,   0.7256, 0.636962
 507,   0.7256, 0.637451
 508,   0.7256, 0.635212
 509,   0.7256, 0.638163
 510,   0.7256, 0.641729
 511,   0.7256,  0.64068
 512,   0.7243, 0.635462
 513,   0.7249, 0.640591
 514,   0.7249, 0.635701
 515,   0.7249, 0.637166
 516,   0.7249, 0.635055
 517,   0.7249, 0.637822
 518,   0.7249, 0.638526
 519,   0.7249,  0.63052
 520,   0.7249, 0.633806
 521,   0.7249, 0.637893
 522,   0.7249, 0.639377
 523,   0.7249, 0.626529
 524,   0.7249, 0.624445
 525,   0.7249, 0.633344
 526,   0.7228, 0.638811
 527,   0.7228, 0.643464
 528,   0.7219, 0.632207
 529,   0.7219, 0.637305
 530,   0.7219, 0.639048
 531,   0.7219, 0.639379
 532,    0.725,  0.63765
 533,    0.725, 0.638148
 534,    0.725, 0.637685
 535,    0.725, 0.630836
 536,    0.725, 0.632613
 537,    0.725, 0.639919
 538,   0.7237, 0.631858
 539,   0.7237,  0.63182
 540,   0.7237, 0.625446
 541,   0.7237, 0.632925
 542,   0.7237, 0.630377
 543,   0.7237,  0.63958
 544,   0.7237, 0.638896
 545,   0.7202, 0.638409
 546,   0.7202, 0.636452
 547,   0.7202, 0.639807
 548,   0.7237, 0.638108
 549,   0.7237, 0.631933
 550,   0.7237,   0.6379
 551,   0.7237, 0.638529
 552,   0.7237, 0.628956
 553,   0.7237, 0.631868
 554,   0.7252, 0.632556
 555,   0.7252,  0.63348
 556,   0.7252, 0.636903
 557,   0.7252, 0.636285
 558,   0.7252, 0.636009
 559,   0.7239, 0.625597
 560,   0.7239, 0.630262
 561,   0.7239, 0.632761
 562,   0.7239, 0.633362
 563,   0.7239, 0.631908
 564,   0.7239, 0.632232
 565,   0.7239, 0.631403
 566,   0.7222, 0.621889
 567,   0.7222, 0.630856
 568,   0.7222, 0.638575
 569,   0.7222, 0.636899
 570,   0.7223,  0.64826
 571,   0.7223, 0.644179
 572,   0.7223, 0.644047
 573,   0.7272, 0.639918
 574,   0.7272, 0.636153
 575,   0.7272, 0.637014
 576,   0.7272, 0.635692
 577,   0.7272, 0.634824
 578,   0.7272, 0.632345
 579,   0.7272, 0.626488
 580,   0.7272, 0.635744
 581,   0.7272, 0.638125
 582,   0.7272, 0.628834
 583,   0.7272,  0.63496
 584,   0.7272, 0.632492
 585,   0.7244,  0.63172
 586,   0.7244, 0.632625
 587,   0.7244, 0.635201
 588,   0.7244, 0.628143
 589,   0.7244, 0.632699
 590,   0.7244, 0.639668
 591,   0.7244, 0.643699
 592,   0.7244, 0.639731
 593,   0.7244, 0.641859
 594,   0.7244, 0.635427
 595,   0.7244, 0.634023
 596,   0.7244, 0.633874
 597,   0.7244, 0.635003
 598,   0.7275, 0.633376
 599,   0.7275, 0.638305
 600,   0.7275, 0.633615
 601,   0.7275, 0.633421
 602,   0.7275,  0.63445
 603,   0.7275, 0.634499
 604,   0.7275, 0.634355
 605,   0.7275, 0.635437
 606,   0.7275, 0.628833
 607,   0.7296, 0.626752
 608,   0.7296, 0.632326
 609,   0.7296, 0.628988
 610,   0.7296, 0.619175
 611,   0.7296, 0.629899
 612,    0.729, 0.634862
 613,    0.729, 0.636808
 614,    0.729, 0.638704
 615,    0.729, 0.638321
 616,    0.729, 0.633859
 617,    0.729, 0.634408
 618,    0.729, 0.631953
 619,    0.729, 0.632046
 620,    0.729,  0.63347
 621,    0.729, 0.633701
 622,    0.729, 0.639539
 623,    0.729, 0.642816
 624,    0.727, 0.640432
 625,    0.727, 0.632585
 626,    0.727, 0.626158
 627,    0.727, 0.637228
 628,    0.727, 0.629493
 629,    0.727, 0.636868
 630,    0.727, 0.629885
 631,    0.727, 0.631778
 632,    0.727, 0.626746
 633,    0.727, 0.629966
 634,    0.727, 0.637412
 635,    0.727, 0.635628
 636,    0.727, 0.631144
 637,    0.727, 0.633715
 638,    0.727, 0.641159
 639,    0.727, 0.637116
 640,   0.7267, 0.635952
 641,   0.7267,  0.64162
 642,   0.7267, 0.637141
 643,   0.7267, 0.635658
 644,   0.7267, 0.643853
 645,   0.7295, 0.639011
 646,   0.7295,  0.64003
 647,   0.7295, 0.646283
 648,   0.7295, 0.630346
 649,   0.7295, 0.636511
 650,   0.7295, 0.638671
 651,   0.7295, 0.642709
 652,   0.7295,  0.63749
 653,   0.7295, 0.635411
 654,   0.7295, 0.634673
 655,   0.7295, 0.639504
 656,   0.7249, 0.637212
 657,   0.7249, 0.637526
 658,   0.7249, 0.628347
 659,   0.7249, 0.636608
 660,   0.7254, 0.641218
 661,   0.7254, 0.643802
 662,   0.7254, 0.636289
 663,   0.7254, 0.637423
 664,   0.7254, 0.634153
 665,   0.7254, 0.639264
 666,   0.7254, 0.633678
 667,   0.7254, 0.636061
 668,   0.7254, 0.634777
 669,   0.7254, 0.639077
 670,   0.7279, 0.634009
 671,   0.7279, 0.636756
 672,   0.7279, 0.631436
 673,   0.7279, 0.632527
 674,   0.7279, 0.635211
 675,   0.7279, 0.626529
 676,   0.7279, 0.630966
 677,   0.7279, 0.629973
 678,   0.7279, 0.620715
 679,   0.7279, 0.631069
 680,   0.7279, 0.625596
 681,   0.7279,  0.62557
 682,   0.7279, 0.634266
 683,   0.7279, 0.635663
 684,   0.7279, 0.628769
 685,   0.7279, 0.631571
 686,   0.7279, 0.634377
 687,   0.7279, 0.629318
 688,   0.7279,  0.62837
 689,   0.7279, 0.628964
 690,   0.7279,  0.62713
 691,   0.7279, 0.632414
 692,   0.7279, 0.633433
 693,   0.7279, 0.632962
 694,   0.7279, 0.635955
 695,   0.7279,  0.63488
 696,   0.7279, 0.622924
 697,   0.7279, 0.629776
 698,   0.7279, 0.631283
 699,   0.7279, 0.635886
 700,   0.7279,   0.6299
 701,   0.7279,  0.63307
 702,   0.7279, 0.631181
 703,   0.7279, 0.634688
 704,   0.7279, 0.637667
 705,   0.7279, 0.638318
 706,   0.7279, 0.633835
 707,   0.7279, 0.639248
 708,   0.7279, 0.630977
 709,   0.7279,  0.63015
 710,   0.7279, 0.631508
 711,   0.7279, 0.629716
 712,   0.7279, 0.631836
 713,   0.7279, 0.630003
 714,   0.7279, 0.630543
 715,   0.7279, 0.637497
 716,   0.7279, 0.640398
 717,   0.7279, 0.628342
 718,   0.7279, 0.631198
 719,   0.7279, 0.627765
 720,   0.7279, 0.636905
 721,   0.7279, 0.630371
 722,   0.7279, 0.627921
 723,   0.7279, 0.639008
 724,   0.7279,  0.63409
 725,   0.7279, 0.628887
 726,   0.7279, 0.634854
 727,   0.7279, 0.637155
 728,   0.7279, 0.638779
 729,   0.7279, 0.635536
 730,   0.7279, 0.635863
 731,   0.7279, 0.633407
 732,   0.7298, 0.633478
 733,   0.7298, 0.630017
 734,   0.7285, 0.632393
 735,   0.7285,  0.63673
