gen, ranking_float_twopoint_best, ranking_float_twopoint_ave
 186,   0.6066, 0.548999
 187,   0.6066, 0.547679
 188,   0.6066, 0.548643
 189,   0.6071, 0.543127
 190,   0.6071, 0.545319
 191,   0.6071, 0.545575
 192,   0.6071, 0.548949
 193,   0.6078, 0.546947
 194,   0.6078, 0.549309
 195,   0.6078, 0.549802
 196,   0.6078, 0.550276
 197,   0.6078, 0.551346
 198,   0.6078, 0.549499
 199,   0.6084, 0.546148
 200,   0.6084, 0.550636
 201,   0.6084, 0.547848
 202,   0.6091, 0.548439
 203,   0.6091, 0.547339
 204,   0.6091, 0.550494
 205,   0.6091, 0.547391
 206,   0.6091, 0.546334
 207,   0.6091, 0.549302
 208,   0.6091, 0.550161
 209,   0.6091, 0.552397
 210,   0.6108, 0.549281
 211,   0.6108, 0.553092
 212,   0.6108, 0.545492
 213,   0.6108, 0.549034
 214,   0.6108, 0.551493
 215,   0.6108, 0.550957
 216,   0.6108, 0.545317
 217,   0.6108, 0.546843
 218,   0.6108, 0.544073
 219,   0.6108, 0.549565
 220,   0.6108, 0.551135
 221,   0.6108, 0.549074
 222,   0.6108, 0.548422
 223,   0.6108, 0.547689
 224,   0.6118, 0.553438
 225,   0.6118, 0.549983
 226,    0.612, 0.550209
 227,    0.612, 0.550474
 228,    0.612, 0.549165
 229,    0.612, 0.551185
 230,    0.612, 0.548126
 231,    0.612,  0.54806
 232,    0.612, 0.550276
 233,   0.6124, 0.543662
 234,   0.6124, 0.545759
 235,   0.6124, 0.549177
 236,   0.6124, 0.547634
 237,   0.6124, 0.544731
 238,   0.6124, 0.545309
 239,   0.6124, 0.545535
 240,   0.6124, 0.547804
 241,   0.6133, 0.548265
 242,   0.6133, 0.547724
 243,   0.6133, 0.547074
 244,   0.6133, 0.553472
 245,   0.6133, 0.553703
 246,   0.6142, 0.546519
 247,   0.6142, 0.545744
 248,   0.6142, 0.552924
 249,   0.6142,  0.55199
 250,   0.6142, 0.550052
 251,   0.6142, 0.551051
 252,   0.6142, 0.555963
 253,   0.6152, 0.555248
 254,   0.6152, 0.551911
 255,   0.6152, 0.552646
 256,   0.6152, 0.555216
 257,   0.6152, 0.550924
 258,   0.6152, 0.548657
 259,   0.6152, 0.547063
 260,   0.6153, 0.550802
 261,   0.6153, 0.552724
 262,   0.6153, 0.545017
 263,   0.6154,  0.55448
 264,   0.6154, 0.552301
 265,   0.6154, 0.548474
 266,    0.616, 0.549966
 267,    0.616,  0.55562
 268,    0.616, 0.552394
 269,    0.617, 0.553073
 270,    0.617, 0.556583
 271,    0.617,  0.55548
 272,    0.617, 0.556063
 273,    0.617, 0.558602
