gen, ranking_ternary_onepoint_best, ranking_ternary_onepoint_ave
 187,   0.6564, 0.608006
 188,   0.6567, 0.604362
 189,   0.6568,  0.60235
 190,   0.6571, 0.606428
 191,   0.6575, 0.605004
 192,   0.6575, 0.603481
 193,   0.6576, 0.603976
 194,   0.6576,   0.6088
 195,   0.6576, 0.602213
 196,   0.6576, 0.600798
 197,   0.6576,   0.6015
 198,   0.6576,   0.6052
 199,   0.6579, 0.605397
 200,   0.6579, 0.601882
 201,   0.6583, 0.605897
 202,   0.6583, 0.606728
 203,   0.6583,  0.60547
 204,   0.6583, 0.604264
 205,   0.6583, 0.608412
 206,   0.6583, 0.605065
 207,   0.6583, 0.607147
 208,   0.6583, 0.609437
 209,   0.6583, 0.610274
 210,   0.6583, 0.609106
 211,   0.6583, 0.608453
 212,   0.6583, 0.604482
 213,   0.6583, 0.607177
 214,   0.6584,  0.60839
 215,   0.6584, 0.608736
 216,   0.6584, 0.608891
 217,   0.6584, 0.608569
 218,   0.6588,  0.60323
 219,   0.6588, 0.607292
 220,   0.6588, 0.603945
 221,   0.6589, 0.606779
 222,   0.6589,  0.61053
 223,   0.6589, 0.605936
 224,   0.6589, 0.604005
 225,   0.6589, 0.604643
 226,   0.6592,  0.60453
 227,   0.6592, 0.605075
 228,   0.6597, 0.605503
 229,   0.6597, 0.604839
 230,   0.6597, 0.604011
 231,   0.6597,  0.60896
 232,   0.6597, 0.607665
 233,   0.6597, 0.606324
 234,   0.6597, 0.608918
 235,   0.6597, 0.612818
 236,   0.6597, 0.613672
 237,   0.6597, 0.614111
 238,   0.6597, 0.609419
 239,   0.6597, 0.610531
 240,   0.6597, 0.611375
 241,   0.6597, 0.612365
 242,   0.6597, 0.611386
 243,   0.6597, 0.609426
 244,   0.6597, 0.611558
 245,   0.6597, 0.608285
 246,   0.6597, 0.610378
 247,   0.6604, 0.613914
 248,   0.6604, 0.613237
 249,   0.6606, 0.616252
 250,   0.6606,  0.61481
 251,   0.6606, 0.609124
 252,   0.6606, 0.605367
 253,   0.6606, 0.610398
 254,   0.6606, 0.614941
 255,   0.6606, 0.613035
 256,   0.6606, 0.610482
 257,   0.6606, 0.611591
 258,   0.6606, 0.613639
 259,    0.662,  0.61429
 260,    0.662, 0.610784
 261,   0.6632, 0.613297
 262,   0.6632, 0.612177
 263,   0.6632, 0.613082
 264,   0.6632, 0.614806
 265,   0.6632, 0.614442
 266,   0.6632, 0.617165
 267,   0.6637, 0.614298
 268,   0.6637, 0.611763
 269,   0.6637,  0.61135
 270,   0.6637, 0.610006
 271,   0.6637, 0.608194
 272,   0.6637, 0.611741
 273,   0.6637, 0.613304
 274,    0.664, 0.612822
 275,   0.6644, 0.610667
 276,   0.6644, 0.613035
 277,   0.6644, 0.616503
 278,   0.6644, 0.616594
 279,   0.6644, 0.614421
 280,   0.6644, 0.613721
 281,   0.6644, 0.615438
 282,   0.6644, 0.615128
 283,   0.6644, 0.614742
 284,   0.6644, 0.614568
 285,   0.6644, 0.614353
 286,   0.6644, 0.612063
 287,   0.6644, 0.615103
 288,   0.6644, 0.611339
 289,   0.6644,  0.61397
 290,   0.6644, 0.615483
 291,   0.6644, 0.612997
 292,   0.6644, 0.614598
 293,   0.6644, 0.616011
 294,   0.6644, 0.615528
 295,   0.6644, 0.614114
 296,   0.6644, 0.614351
 297,   0.6644, 0.614737
 298,   0.6644, 0.614573
 299,   0.6644, 0.613961
 300,   0.6644, 0.613295
 301,   0.6644, 0.613084
 302,   0.6644, 0.617809
 303,   0.6644, 0.612352
 304,   0.6652, 0.612433
