gen, ranking_scalar_onepoint_best, ranking_scalar_onepoint_ave
2121,   0.8054, 0.698996
2122,   0.8054, 0.700166
2123,   0.8054, 0.701372
2124,   0.8054, 0.705341
2125,   0.8054, 0.705312
2126,    0.809, 0.697878
2127,    0.809, 0.706702
2128,    0.809, 0.696834
2129,    0.809, 0.704744
2130,   0.8077, 0.702503
2131,   0.8077, 0.707841
2132,   0.8077, 0.706153
2133,   0.8077, 0.707619
2134,   0.8077, 0.704928
2135,   0.8077, 0.702363
2136,   0.8077, 0.703854
2137,   0.8056, 0.704337
2138,   0.8056, 0.705695
2139,   0.8056, 0.708857
2140,   0.8056,  0.70406
2141,   0.8056, 0.713238
2142,   0.8056, 0.702686
2143,   0.8056, 0.699185
2144,   0.8056, 0.701787
2145,   0.8056,  0.70282
2146,   0.8056, 0.698066
2147,   0.8056, 0.705811
2148,   0.8056, 0.707569
2149,   0.8056, 0.704485
2150,   0.8056, 0.703396
2151,   0.8056,  0.71098
2152,   0.8056, 0.706054
2153,   0.8056, 0.708315
2154,   0.8056, 0.701964
2155,   0.8056,  0.71189
2156,   0.8056, 0.710313
2157,   0.8056,  0.70457
2158,   0.8056, 0.703547
2159,   0.8056, 0.702812
2160,   0.8056, 0.688793
2161,   0.8056, 0.702461
2162,   0.8056, 0.699855
2163,   0.8056,  0.70388
2164,   0.8056, 0.705971
2165,   0.8056, 0.708799
2166,   0.8056, 0.709242
2167,   0.8056, 0.709842
2168,   0.8056, 0.699193
2169,   0.8056, 0.701438
2170,   0.8056, 0.696837
2171,   0.8056, 0.693033
2172,   0.8056, 0.699659
2173,   0.8056, 0.707007
2174,   0.8056, 0.707041
2175,   0.8056, 0.705413
2176,   0.8056, 0.709089
2177,   0.8056, 0.708691
2178,   0.8056, 0.705897
2179,   0.8056,   0.6973
2180,   0.8056, 0.695909
2181,   0.8056, 0.699108
2182,   0.8056, 0.707088
2183,   0.8056, 0.702249
2184,   0.8056, 0.699273
2185,   0.8056, 0.700461
2186,   0.8056, 0.699607
2187,   0.8056, 0.698996
2188,   0.8056, 0.695449
2189,   0.8056, 0.702033
2190,   0.8056, 0.698678
2191,   0.8056, 0.705026
2192,   0.8056,  0.69938
2193,   0.8056, 0.699872
2194,   0.8056,  0.69624
2195,   0.8056, 0.704366
2196,   0.8056, 0.705396
2197,   0.8056, 0.710762
2198,   0.8056, 0.707192
2199,   0.8056, 0.706621
2200,   0.8056, 0.706831
2201,   0.8056, 0.700437
2202,   0.8082, 0.699698
2203,   0.8082, 0.698895
2204,   0.8082, 0.702277
2205,   0.8082, 0.697868
2206,   0.8082, 0.700593
2207,   0.8082, 0.701444
2208,   0.8082, 0.708835
2209,   0.8082, 0.699509
2210,   0.8082, 0.707854
2211,   0.8082,  0.70028
2212,   0.8082, 0.706154
2213,   0.8082,  0.70706
2214,   0.8082,  0.70033
2215,   0.8082, 0.697271
2216,   0.8082, 0.697985
2217,   0.8082, 0.701377
2218,   0.8083, 0.696622
2219,   0.8083, 0.702287
2220,   0.8083, 0.701307
2221,   0.8083, 0.701025
2222,   0.8083, 0.703312
2223,   0.8083, 0.699149
2224,   0.8083, 0.699263
2225,   0.8083, 0.709885
2226,   0.8083, 0.711177
2227,   0.8083, 0.707775
2228,   0.8083,   0.7016
2229,   0.8083, 0.707108
2230,   0.8083, 0.710371
2231,   0.8083, 0.706852
2232,   0.8083, 0.705333
2233,   0.8083, 0.702958
2234,   0.8083, 0.710067
2235,   0.8083, 0.706231
2236,   0.8083, 0.710423
2237,   0.8083, 0.701858
2238,   0.8083, 0.715156
2239,   0.8083, 0.710775
2240,   0.8083, 0.702124
2241,   0.8083, 0.700871
2242,   0.8083,  0.70809
2243,   0.8083, 0.706255
2244,   0.8083, 0.705743
2245,   0.8083, 0.707542
2246,   0.8083, 0.702043
2247,   0.8083,  0.70361
2248,   0.8083, 0.708533
2249,   0.8083, 0.698078
2250,   0.8083, 0.702019
2251,   0.8071, 0.700584
2252,   0.8071, 0.704015
2253,   0.8071, 0.698057
2254,   0.8071, 0.701873
2255,   0.8071, 0.704037
2256,   0.8071, 0.699951
2257,   0.8071, 0.706743
2258,   0.8071, 0.704507
2259,   0.8071, 0.707335
2260,   0.8071,  0.70899
2261,   0.8071, 0.702963
2262,   0.8071, 0.709494
2263,   0.8071, 0.706411
2264,   0.8088,  0.70888
2265,   0.8088, 0.706517
2266,   0.8088, 0.702201
2267,   0.8088, 0.701325
2268,   0.8088, 0.703052
2269,   0.8088, 0.703261
2270,   0.8088, 0.696608
2271,   0.8088, 0.702228
2272,   0.8088, 0.699691
2273,   0.8088, 0.702344
2274,   0.8088, 0.696233
2275,   0.8088,  0.69961
2276,   0.8088, 0.702288
2277,   0.8088, 0.710342
2278,   0.8088, 0.715565
2279,   0.8088, 0.708418
2280,   0.8088,  0.70478
2281,   0.8088, 0.704376
2282,   0.8088, 0.701933
2283,   0.8088, 0.711878
2284,   0.8088, 0.706223
2285,   0.8088, 0.705833
2286,   0.8091, 0.705691
2287,   0.8091, 0.702822
2288,   0.8091, 0.704243
2289,   0.8091, 0.695521
2290,   0.8091, 0.700207
2291,   0.8091, 0.708386
2292,   0.8091, 0.708143
2293,    0.812, 0.706789
2294,    0.812, 0.703299
2295,    0.812, 0.711178
2296,    0.812, 0.704002
2297,    0.812, 0.703312
2298,    0.812,  0.71196
2299,    0.812, 0.708271
2300,    0.812, 0.709902
2301,    0.812, 0.707196
2302,    0.812, 0.704814
2303,    0.812, 0.701328
2304,    0.812, 0.703223
2305,    0.812, 0.713566
2306,    0.812, 0.707731
2307,    0.812, 0.713718
2308,    0.812, 0.714293
2309,    0.812, 0.709866
2310,    0.812, 0.705935
2311,    0.812,  0.70779
2312,    0.812,  0.71984
2313,    0.812, 0.711838
2314,    0.812, 0.714219
2315,   0.8094, 0.708388
2316,   0.8094, 0.706223
2317,   0.8094, 0.705104
2318,   0.8094,  0.71292
2319,   0.8094, 0.709492
2320,   0.8094, 0.714077
2321,   0.8094, 0.714218
2322,   0.8094, 0.704656
2323,   0.8094, 0.703501
2324,   0.8094, 0.706453
2325,   0.8094, 0.700542
2326,   0.8094, 0.707736
2327,   0.8094, 0.710405
2328,   0.8094, 0.704251
2329,   0.8094, 0.700774
2330,   0.8094,  0.70466
2331,   0.8094, 0.704055
2332,   0.8094, 0.704012
2333,   0.8094, 0.706387
2334,   0.8094, 0.704857
2335,   0.8094, 0.704411
2336,   0.8094, 0.700593
2337,   0.8094, 0.704699
2338,   0.8094, 0.704658
2339,   0.8094, 0.715147
2340,   0.8094,  0.71292
2341,   0.8094, 0.712521
2342,   0.8094, 0.702386
2343,   0.8094, 0.700063
2344,   0.8094, 0.704985
2345,   0.8094, 0.706456
2346,   0.8094, 0.712032
2347,   0.8094, 0.711531
2348,   0.8094, 0.706411
2349,   0.8094, 0.695152
2350,   0.8094, 0.702521
2351,   0.8094, 0.709822
2352,   0.8094, 0.712729
2353,   0.8094,   0.7051
2354,   0.8094,  0.71392
2355,   0.8094, 0.697303
2356,   0.8094, 0.704667
2357,   0.8094, 0.708838
2358,   0.8094, 0.709037
2359,   0.8094, 0.710979
2360,   0.8094, 0.714684
2361,   0.8094, 0.710774
2362,   0.8094, 0.711432
2363,   0.8094, 0.708167
2364,   0.8094,  0.70861
2365,   0.8094, 0.716462
2366,   0.8094, 0.702848
2367,   0.8094, 0.702253
2368,   0.8094, 0.706161
2369,   0.8094, 0.702625
2370,   0.8094, 0.708317
2371,   0.8094, 0.705619
2372,   0.8094, 0.710148
2373,   0.8094, 0.711541
2374,   0.8094,  0.70757
2375,   0.8094, 0.705382
2376,   0.8094, 0.706007
2377,   0.8094, 0.713924
2378,   0.8094, 0.717407
2379,   0.8094, 0.711083
2380,   0.8094, 0.710928
2381,   0.8094,  0.71366
2382,   0.8094, 0.706253
2383,   0.8094, 0.708581
2384,   0.8094, 0.707373
2385,   0.8094,  0.70983
2386,   0.8094, 0.708269
2387,   0.8094, 0.707595
2388,     0.81, 0.707189
2389,     0.81, 0.704248
2390,     0.81,  0.70607
2391,     0.81, 0.711572
2392,     0.81, 0.704643
2393,     0.81, 0.708885
2394,     0.81, 0.706647
2395,     0.81, 0.713363
2396,     0.81, 0.708087
2397,     0.81,   0.7113
2398,     0.81, 0.708213
2399,     0.81,  0.71238
2400,     0.81, 0.709321
2401,   0.8084, 0.709671
2402,   0.8084, 0.707112
2403,   0.8084, 0.710311
2404,   0.8084, 0.708704
2405,   0.8084, 0.712021
2406,   0.8084, 0.712753
2407,   0.8084, 0.718417
2408,   0.8084, 0.708456
2409,   0.8084, 0.708926
2410,   0.8084, 0.711588
2411,   0.8084, 0.702019
2412,   0.8084, 0.701337
2413,   0.8115, 0.708477
2414,   0.8115, 0.715281
2415,   0.8115, 0.711007
2416,   0.8115, 0.703843
2417,   0.8115, 0.712267
2418,   0.8115, 0.705633
2419,   0.8115,  0.71005
2420,   0.8115, 0.716904
2421,   0.8115, 0.715548
2422,   0.8115, 0.711028
2423,   0.8115, 0.710202
2424,   0.8115, 0.715968
2425,   0.8115, 0.720369
2426,   0.8115, 0.713096
2427,   0.8115, 0.712464
2428,   0.8115,  0.70937
2429,   0.8115, 0.710988
2430,   0.8115,  0.71287
2431,   0.8115, 0.705661
2432,   0.8115, 0.714296
2433,   0.8115, 0.711011
2434,   0.8115, 0.707925
2435,   0.8115, 0.708722
2436,   0.8115, 0.710722
2437,   0.8115,  0.71849
2438,   0.8115, 0.714173
2439,   0.8115, 0.710872
2440,   0.8115, 0.716544
2441,   0.8115, 0.704597
2442,   0.8115, 0.709535
2443,   0.8115, 0.713225
2444,   0.8115, 0.712824
2445,   0.8115, 0.717809
2446,   0.8115, 0.706805
2447,   0.8115, 0.705283
2448,   0.8115, 0.710342
2449,   0.8115, 0.711469
2450,   0.8115, 0.716619
2451,   0.8115, 0.712552
2452,   0.8115, 0.712637
2453,   0.8115, 0.707976
2454,   0.8115, 0.710079
2455,   0.8115, 0.701967
2456,   0.8115, 0.704973
2457,   0.8115, 0.700095
2458,   0.8115, 0.713751
2459,   0.8111, 0.710972
2460,   0.8111, 0.709002
2461,   0.8111, 0.699044
2462,   0.8111, 0.702787
2463,   0.8111, 0.697551
2464,   0.8111, 0.703321
2465,   0.8111, 0.702886
2466,   0.8111, 0.708474
2467,   0.8111, 0.705526
2468,   0.8111, 0.705768
2469,   0.8111, 0.710994
2470,   0.8111, 0.709743
2471,   0.8111, 0.710784
2472,   0.8111, 0.706576
2473,   0.8111, 0.713816
2474,   0.8111, 0.706316
2475,   0.8111,   0.7084
2476,   0.8111, 0.701554
2477,   0.8111, 0.701398
2478,   0.8111, 0.710221
2479,   0.8111, 0.712498
2480,   0.8111, 0.708323
2481,   0.8111, 0.707672
2482,   0.8111, 0.707958
2483,   0.8111, 0.708873
2484,   0.8111, 0.707388
2485,   0.8111, 0.712498
2486,   0.8111, 0.712499
2487,   0.8111, 0.709572
2488,    0.809, 0.712675
2489,    0.809, 0.707864
2490,    0.809, 0.705721
2491,    0.813, 0.705564
2492,    0.813, 0.714134
2493,    0.813, 0.719736
2494,    0.813, 0.720307
2495,    0.813, 0.719953
2496,    0.813,  0.70615
2497,    0.813, 0.710463
2498,    0.813, 0.711007
2499,    0.813, 0.714161
2500,    0.813, 0.711856
2501,    0.813, 0.711016
2502,    0.813, 0.709779
2503,    0.813, 0.710245
2504,    0.813,  0.71145
2505,    0.813, 0.711811
2506,    0.813, 0.710936
2507,    0.813,  0.70961
2508,   0.8132, 0.706746
2509,   0.8132, 0.711507
2510,   0.8132, 0.713196
2511,   0.8132, 0.711487
2512,   0.8132, 0.711592
2513,   0.8132, 0.704876
2514,   0.8132, 0.703241
2515,   0.8132, 0.701672
2516,   0.8132, 0.707146
2517,   0.8132, 0.709634
2518,   0.8132,   0.7133
2519,   0.8132, 0.715239
2520,   0.8132, 0.710867
2521,   0.8132, 0.708589
2522,   0.8132, 0.712897
2523,   0.8132, 0.708568
2524,   0.8132,  0.71064
2525,   0.8132, 0.710481
2526,   0.8148, 0.705857
2527,   0.8148,  0.69879
2528,   0.8148, 0.702394
2529,   0.8148, 0.698455
2530,   0.8148, 0.698488
2531,   0.8148, 0.705944
2532,   0.8148, 0.718557
2533,   0.8148, 0.719392
2534,   0.8148, 0.712021
2535,   0.8148, 0.705519
2536,   0.8148, 0.714666
2537,   0.8148, 0.715292
2538,   0.8148, 0.713747
2539,   0.8148, 0.701594
2540,   0.8148, 0.703644
2541,   0.8148, 0.713859
2542,   0.8148, 0.708091
2543,   0.8148, 0.710636
2544,   0.8148, 0.713821
2545,   0.8148, 0.708901
2546,   0.8148,  0.71323
2547,   0.8148, 0.712185
2548,   0.8148, 0.715967
2549,   0.8148, 0.718747
2550,   0.8148,  0.71091
2551,   0.8148, 0.715751
2552,   0.8148, 0.715421
2553,   0.8148, 0.714926
2554,   0.8148, 0.704099
2555,   0.8148, 0.707265
2556,   0.8148, 0.713775
2557,   0.8148, 0.705745
2558,   0.8148,  0.70555
2559,   0.8148, 0.712842
2560,   0.8148, 0.719062
2561,   0.8148, 0.711558
2562,   0.8148, 0.709439
2563,   0.8148, 0.705173
2564,   0.8148, 0.703085
2565,   0.8148, 0.706949
2566,   0.8148, 0.716523
2567,   0.8148,   0.7135
2568,   0.8148, 0.704557
2569,   0.8148, 0.704612
2570,   0.8148, 0.706784
2571,   0.8148,  0.70968
2572,   0.8148, 0.712372
2573,   0.8148, 0.713816
2574,   0.8148, 0.705162
2575,   0.8148, 0.699224
2576,   0.8148,  0.70739
2577,   0.8148, 0.705834
2578,   0.8126, 0.711307
2579,   0.8126, 0.712295
2580,   0.8126, 0.707406
2581,   0.8126, 0.705373
2582,   0.8126, 0.712844
2583,   0.8126,  0.71491
2584,   0.8126, 0.714063
2585,   0.8126, 0.714933
2586,   0.8126, 0.714367
2587,   0.8126, 0.714979
2588,   0.8126, 0.706157
2589,   0.8126, 0.705989
2590,   0.8126, 0.711038
2591,   0.8126, 0.712874
2592,   0.8126, 0.711435
2593,   0.8126, 0.708558
2594,   0.8126, 0.712731
2595,   0.8126, 0.711909
2596,   0.8126, 0.714586
2597,   0.8126,  0.71125
2598,   0.8126, 0.711667
2599,   0.8126, 0.706931
2600,   0.8126, 0.705405
2601,   0.8126,  0.70317
2602,   0.8126, 0.711861
2603,   0.8126, 0.717644
2604,   0.8126, 0.718111
2605,   0.8126, 0.705926
2606,   0.8126,  0.70591
2607,   0.8126, 0.714424
2608,   0.8126, 0.717162
2609,   0.8126, 0.711227
2610,   0.8126, 0.708536
2611,   0.8126, 0.710074
2612,   0.8126, 0.711612
2613,   0.8126, 0.712146
2614,   0.8126, 0.708844
2615,   0.8126, 0.703853
2616,   0.8126,  0.70762
2617,    0.812, 0.708842
2618,    0.812, 0.701608
2619,    0.812, 0.712236
2620,    0.812, 0.712234
2621,    0.812, 0.715014
2622,    0.812, 0.714429
2623,    0.812, 0.702837
2624,    0.812, 0.705706
2625,    0.812, 0.711408
2626,    0.812, 0.712234
2627,    0.812, 0.711481
2628,    0.812, 0.713854
2629,   0.8101, 0.709773
2630,   0.8101, 0.709859
2631,   0.8101, 0.713064
2632,   0.8101, 0.709512
2633,   0.8101, 0.715167
2634,   0.8101, 0.712747
2635,   0.8101, 0.707039
2636,   0.8101,  0.70415
2637,   0.8101, 0.707949
2638,   0.8101, 0.705797
2639,   0.8101, 0.710825
2640,   0.8119, 0.713761
2641,   0.8119, 0.717679
2642,   0.8119, 0.711897
2643,   0.8119, 0.713516
2644,   0.8119, 0.701037
2645,   0.8119, 0.700829
2646,   0.8119, 0.702375
2647,   0.8119, 0.714446
2648,   0.8119, 0.705989
2649,   0.8119, 0.714084
2650,   0.8119, 0.708483
2651,   0.8119, 0.712731
2652,   0.8119, 0.709947
2653,   0.8119, 0.713421
2654,   0.8119, 0.710126
2655,   0.8119, 0.701249
2656,   0.8119, 0.705209
2657,   0.8119, 0.704295
2658,   0.8119,  0.70921
2659,   0.8119, 0.709221
2660,   0.8119, 0.707262
2661,   0.8119, 0.713215
2662,   0.8119, 0.711815
2663,   0.8119, 0.711783
2664,   0.8119, 0.708368
2665,   0.8119, 0.699213
2666,   0.8119, 0.707333
2667,   0.8119, 0.708872
2668,   0.8119,   0.7008
2669,   0.8119,  0.71191
2670,   0.8119, 0.710253
2671,   0.8119, 0.716403
2672,   0.8119, 0.713854
2673,   0.8142, 0.705068
2674,   0.8142, 0.710963
2675,   0.8142, 0.712032
2676,   0.8142, 0.711983
2677,   0.8142,   0.7055
2678,   0.8142, 0.710834
2679,   0.8125, 0.708754
2680,   0.8125, 0.703289
2681,   0.8125,  0.70412
2682,   0.8125, 0.709274
2683,   0.8125, 0.712022
2684,   0.8125, 0.715763
2685,   0.8125, 0.714305
2686,   0.8125, 0.710617
2687,   0.8125, 0.706522
2688,   0.8125, 0.703593
2689,   0.8125, 0.710584
2690,   0.8125, 0.709606
2691,   0.8125, 0.718049
2692,   0.8125, 0.715416
2693,   0.8125, 0.717599
2694,   0.8146, 0.720636
2695,   0.8146, 0.713161
2696,   0.8164, 0.712991
2697,   0.8164,  0.71075
2698,   0.8164, 0.711706
2699,   0.8164, 0.713845
2700,   0.8164, 0.708906
2701,   0.8164, 0.715817
2702,   0.8164, 0.709683
2703,   0.8164, 0.708392
2704,   0.8164, 0.707705
2705,   0.8164, 0.711151
2706,   0.8164, 0.706901
2707,   0.8164, 0.701741
2708,   0.8164, 0.716465
2709,   0.8164, 0.717069
2710,   0.8164,  0.71173
2711,   0.8164, 0.712075
2712,   0.8164, 0.708498
2713,   0.8164, 0.711842
2714,   0.8164, 0.710788
2715,   0.8164, 0.706368
2716,   0.8164, 0.708093
2717,   0.8164, 0.709002
2718,   0.8164, 0.709211
2719,   0.8164, 0.711954
2720,   0.8164, 0.709946
2721,   0.8164, 0.709964
2722,   0.8164, 0.711975
2723,   0.8164, 0.705973
2724,   0.8164, 0.704762
2725,   0.8164, 0.709243
2726,   0.8164, 0.710283
2727,   0.8164, 0.712591
2728,   0.8164,  0.71884
2729,   0.8164, 0.718527
2730,   0.8164, 0.716522
2731,   0.8164,  0.71529
2732,   0.8164, 0.707647
2733,   0.8164,  0.70974
2734,   0.8164,  0.71801
2735,   0.8164, 0.707146
2736,   0.8164, 0.707878
2737,   0.8164, 0.706861
2738,   0.8164, 0.718048
2739,   0.8164, 0.718302
2740,   0.8164, 0.709419
2741,   0.8164, 0.717456
2742,   0.8164,  0.71099
2743,   0.8164, 0.709453
2744,   0.8164, 0.709474
2745,   0.8164, 0.714563
2746,   0.8164, 0.719789
2747,   0.8164, 0.720991
2748,   0.8164, 0.713916
2749,   0.8164, 0.710974
2750,   0.8164, 0.715365
2751,   0.8164, 0.710649
2752,   0.8164, 0.709764
2753,   0.8164, 0.712857
2754,   0.8164, 0.715548
2755,   0.8164, 0.718524
2756,   0.8164, 0.710303
2757,   0.8164, 0.710662
2758,   0.8164, 0.716403
2759,   0.8164, 0.720709
2760,   0.8164, 0.712416
2761,   0.8164, 0.709877
2762,   0.8164, 0.716987
2763,   0.8164, 0.720041
2764,   0.8164, 0.709332
2765,   0.8176,   0.7138
2766,   0.8176, 0.712797
2767,   0.8176, 0.722096
2768,   0.8176, 0.720249
2769,   0.8176, 0.710636
2770,   0.8176, 0.710824
2771,   0.8176, 0.715195
2772,   0.8176, 0.712452
2773,   0.8176, 0.710626
2774,   0.8176, 0.708805
2775,   0.8176, 0.716166
2776,   0.8176, 0.709597
2777,   0.8176, 0.699972
2778,   0.8176, 0.702653
2779,   0.8176, 0.708046
2780,   0.8176, 0.712932
2781,   0.8176, 0.710615
2782,   0.8176, 0.703755
2783,   0.8176, 0.714426
2784,   0.8176, 0.711167
2785,   0.8188, 0.712296
2786,   0.8188, 0.713751
2787,   0.8188, 0.710707
2788,   0.8188, 0.715019
2789,   0.8188, 0.717002
2790,   0.8188, 0.714128
2791,   0.8188, 0.707365
2792,   0.8188, 0.710201
2793,   0.8188, 0.707884
2794,   0.8188, 0.710423
2795,   0.8188,  0.71129
2796,   0.8188, 0.712659
2797,   0.8188, 0.704816
2798,   0.8188, 0.713522
2799,   0.8188, 0.713481
2800,   0.8188, 0.718203
2801,   0.8188, 0.713036
2802,   0.8188,  0.71288
2803,   0.8188, 0.711737
2804,   0.8188, 0.705185
2805,   0.8188, 0.708166
2806,   0.8188, 0.704329
2807,   0.8188, 0.706224
2808,   0.8188, 0.714544
2809,   0.8188, 0.709631
2810,   0.8188, 0.709906
2811,   0.8188,  0.71453
2812,   0.8188, 0.715233
2813,   0.8188, 0.711636
2814,   0.8188, 0.719702
2815,   0.8188, 0.712903
2816,   0.8188, 0.716101
2817,   0.8188, 0.716149
2818,   0.8188, 0.710869
2819,   0.8188, 0.714301
2820,   0.8188, 0.714628
2821,   0.8188, 0.708356
2822,   0.8188, 0.722072
2823,   0.8188, 0.717386
2824,   0.8188, 0.711003
2825,   0.8188, 0.711027
2826,   0.8188, 0.714291
2827,   0.8188, 0.717561
2828,   0.8188, 0.712164
2829,   0.8188, 0.712168
2830,   0.8188, 0.717859
2831,   0.8188, 0.721321
2832,   0.8188, 0.714795
2833,   0.8188, 0.718266
2834,   0.8188, 0.710911
2835,   0.8209, 0.705742
2836,   0.8209,  0.71339
2837,   0.8209, 0.714674
2838,   0.8209, 0.708601
2839,   0.8209, 0.712393
2840,   0.8209, 0.715285
2841,   0.8192, 0.717427
2842,   0.8192, 0.714255
2843,   0.8192, 0.715266
2844,   0.8192, 0.718323
2845,   0.8192, 0.714698
2846,   0.8192, 0.711516
2847,   0.8192, 0.720883
2848,   0.8192, 0.714778
2849,   0.8192, 0.715186
2850,   0.8192, 0.711405
2851,   0.8192, 0.709675
2852,   0.8192, 0.712551
2853,   0.8192, 0.711326
2854,   0.8192, 0.715295
2855,   0.8192, 0.713708
2856,   0.8192, 0.716382
2857,   0.8192, 0.720497
2858,   0.8192, 0.714504
2859,   0.8192, 0.713498
2860,   0.8192, 0.716469
2861,   0.8192, 0.709031
2862,   0.8192,  0.71575
2863,    0.821, 0.712834
2864,    0.821, 0.717576
2865,    0.821, 0.710744
2866,   0.8223, 0.709912
2867,   0.8223, 0.709952
2868,   0.8223, 0.712471
2869,   0.8223, 0.714358
2870,   0.8223, 0.712143
2871,   0.8223, 0.716549
2872,   0.8223, 0.717133
2873,   0.8223,  0.71318
2874,   0.8223, 0.713101
2875,   0.8223, 0.712293
2876,   0.8223, 0.713129
2877,   0.8223,  0.72142
2878,   0.8223, 0.722731
2879,   0.8223, 0.722823
2880,   0.8223, 0.713848
2881,   0.8223, 0.721761
2882,   0.8223, 0.719202
2883,   0.8223,  0.71679
2884,   0.8223, 0.712766
2885,   0.8223,  0.71138
2886,   0.8223, 0.708942
2887,   0.8223, 0.709669
2888,   0.8223, 0.712743
2889,   0.8223, 0.717099
2890,   0.8223, 0.711842
2891,   0.8223, 0.706179
2892,   0.8223, 0.713289
2893,   0.8223, 0.712762
2894,   0.8223, 0.711914
2895,   0.8223,  0.71237
2896,   0.8223,  0.71354
2897,   0.8223, 0.707589
2898,   0.8223, 0.709056
2899,   0.8223, 0.707641
2900,   0.8223, 0.704691
2901,   0.8223, 0.704325
2902,   0.8223, 0.707171
2903,   0.8223, 0.708659
2904,   0.8223, 0.716964
2905,   0.8223, 0.714666
2906,   0.8223, 0.713857
2907,   0.8223, 0.719519
2908,   0.8223, 0.718556
2909,   0.8223, 0.716595
2910,   0.8223,  0.71487
2911,   0.8223,  0.70999
2912,   0.8223, 0.720369
2913,   0.8223, 0.720256
2914,   0.8223, 0.717538
2915,   0.8223, 0.715171
2916,   0.8223, 0.710603
2917,   0.8223, 0.715275
2918,   0.8223, 0.708615
2919,   0.8223, 0.716296
2920,   0.8223, 0.719065
2921,   0.8223, 0.716882
2922,   0.8223, 0.714293
2923,   0.8223, 0.713963
2924,   0.8223, 0.708393
2925,   0.8223, 0.715767
2926,   0.8223, 0.716457
2927,   0.8223, 0.718608
2928,   0.8223, 0.719594
2929,   0.8223, 0.716641
2930,   0.8223, 0.711186
2931,   0.8223, 0.708821
2932,   0.8223, 0.707805
2933,   0.8223, 0.706847
2934,   0.8223, 0.719541
2935,   0.8223, 0.723535
2936,   0.8223, 0.715289
2937,   0.8223, 0.709089
2938,   0.8223, 0.711363
2939,   0.8223, 0.702181
2940,   0.8223,   0.7085
2941,   0.8223, 0.714977
2942,   0.8223, 0.711944
2943,   0.8223, 0.712223
2944,   0.8223, 0.716308
2945,   0.8223, 0.711752
2946,   0.8223, 0.714688
2947,   0.8223, 0.713836
2948,   0.8223,  0.71345
2949,   0.8223, 0.713503
2950,   0.8223, 0.712649
2951,   0.8223, 0.711591
2952,   0.8223, 0.710854
2953,   0.8223, 0.705756
2954,   0.8223,  0.70782
2955,   0.8223, 0.710761
2956,   0.8223, 0.712726
2957,   0.8223, 0.719921
2958,   0.8223, 0.718799
2959,   0.8223, 0.713579
2960,   0.8223, 0.709095
2961,   0.8223,  0.71121
2962,   0.8223, 0.717003
2963,   0.8223, 0.716867
2964,   0.8223, 0.719426
2965,   0.8223, 0.710842
2966,   0.8223, 0.715979
2967,   0.8223, 0.710307
2968,   0.8223, 0.715329
2969,   0.8223,  0.70867
2970,   0.8223, 0.706636
2971,   0.8223, 0.702713
2972,   0.8223, 0.712079
2973,   0.8223, 0.708889
2974,   0.8223, 0.707309
2975,   0.8223, 0.707539
2976,   0.8206, 0.706159
2977,   0.8206, 0.714981
2978,   0.8206, 0.715489
2979,   0.8206, 0.719584
2980,   0.8206, 0.718295
2981,   0.8224, 0.714295
2982,   0.8224, 0.700773
2983,   0.8224, 0.719172
2984,   0.8224, 0.707184
2985,   0.8224, 0.716294
2986,   0.8224, 0.708947
2987,   0.8224, 0.707004
2988,   0.8224, 0.712993
2989,   0.8224, 0.717481
2990,   0.8224, 0.715486
2991,   0.8224, 0.719576
2992,   0.8224,  0.71235
2993,   0.8224, 0.714912
2994,   0.8224,  0.71509
2995,   0.8224, 0.719373
2996,   0.8224, 0.717606
2997,   0.8224, 0.718516
2998,   0.8224, 0.727987
2999,   0.8224, 0.725734
3000,   0.8224, 0.717859
3001,   0.8224, 0.707972
3002,   0.8224, 0.710798
3003,   0.8224, 0.720061
3004,   0.8224, 0.712297
3005,   0.8224, 0.714113
3006,   0.8224, 0.712496
3007,   0.8224, 0.717475
3008,   0.8224, 0.720154
3009,   0.8224, 0.715591
3010,   0.8224, 0.715065
3011,   0.8224, 0.720235
3012,   0.8224, 0.711067
3013,   0.8224, 0.709891
3014,   0.8224, 0.706758
3015,   0.8224, 0.710562
3016,   0.8224, 0.712363
3017,   0.8224, 0.719752
3018,   0.8224, 0.712679
3019,   0.8224, 0.709945
3020,   0.8224, 0.712171
3021,   0.8224, 0.715305
3022,   0.8224, 0.714468
3023,   0.8224, 0.706459
3024,   0.8224, 0.711402
3025,   0.8224, 0.705732
3026,   0.8224,  0.71399
3027,   0.8224, 0.713624
3028,   0.8224, 0.720409
3029,   0.8224, 0.707481
3030,   0.8224, 0.714019
3031,   0.8224, 0.715163
3032,   0.8224, 0.717347
3033,   0.8224, 0.713934
3034,   0.8224, 0.715711
3035,   0.8224, 0.712888
3036,   0.8224, 0.709822
3037,   0.8224, 0.717095
3038,   0.8224, 0.720909
3039,   0.8224, 0.718729
3040,   0.8224, 0.716169
3041,   0.8224, 0.721792
3042,   0.8224, 0.712831
3043,   0.8224, 0.711936
3044,   0.8224, 0.720329
3045,   0.8224, 0.710898
3046,   0.8224, 0.711568
3047,   0.8224, 0.713199
3048,   0.8224, 0.719694
3049,   0.8224, 0.719346
3050,   0.8224, 0.713925
3051,   0.8224, 0.710623
3052,   0.8224, 0.714413
3053,   0.8224, 0.722564
3054,   0.8224, 0.719817
3055,   0.8224, 0.717028
3056,   0.8224, 0.709421
