gen, roulette_ternary_twopoint_best, roulette_ternary_twopoint_ave
 187,   0.5641, 0.395215
 188,   0.5641, 0.389203
 189,   0.5641, 0.391448
 190,   0.5641, 0.395582
 191,   0.5649, 0.390516
 192,   0.5649, 0.388734
 193,   0.5649, 0.398314
 194,   0.5649, 0.400768
 195,   0.5649,  0.39536
 196,   0.5649, 0.389824
 197,   0.5649,   0.3898
 198,   0.5649, 0.392899
 199,   0.5649, 0.391858
 200,   0.5649, 0.397411
 201,   0.5649, 0.394696
 202,   0.5649, 0.392314
 203,   0.5649, 0.402671
 204,   0.5654, 0.406116
 205,   0.5654,  0.40201
 206,   0.5654, 0.407358
 207,   0.5679, 0.407942
 208,    0.568, 0.405458
 209,    0.568, 0.403515
 210,    0.568, 0.404564
 211,    0.568, 0.404503
 212,    0.568, 0.404152
 213,    0.568, 0.404955
 214,    0.568, 0.409054
 215,   0.5733, 0.410347
 216,   0.5733, 0.409763
 217,   0.5733, 0.406954
 218,   0.5733, 0.408935
 219,   0.5733, 0.409384
 220,   0.5733, 0.413089
 221,   0.5733,  0.41121
 222,   0.5735, 0.406017
 223,   0.5766, 0.406057
 224,   0.5766, 0.402476
 225,   0.5766, 0.405873
 226,   0.5766, 0.406837
 227,   0.5766, 0.407336
 228,   0.5766, 0.415028
 229,   0.5766, 0.414453
 230,   0.5766, 0.410171
 231,   0.5766, 0.402885
 232,   0.5766, 0.406893
 233,   0.5766, 0.403744
 234,   0.5766, 0.401126
 235,   0.5766, 0.411395
 236,   0.5766, 0.407682
 237,   0.5766, 0.406422
 238,   0.5766, 0.403962
 239,   0.5802, 0.409263
 240,   0.5802, 0.415635
 241,   0.5802, 0.421919
 242,   0.5802,  0.41526
 243,   0.5802, 0.405808
 244,    0.581, 0.401273
 245,    0.581, 0.396726
 246,    0.581, 0.398485
 247,    0.581, 0.393528
 248,    0.581, 0.396941
 249,    0.581, 0.401838
 250,   0.5828, 0.405436
 251,   0.5828, 0.394071
 252,   0.5887, 0.395382
 253,   0.5887, 0.397138
 254,   0.5887, 0.405044
