gen, roulette_ternary_uniform_best, roulette_ternary_uniform_ave
 185,   0.5131,  0.32906
 186,    0.535, 0.334679
 187,    0.535,  0.33834
 188,    0.535, 0.337374
 189,    0.535, 0.340546
 190,    0.535, 0.332571
 191,    0.535, 0.333979
 192,    0.535, 0.333173
 193,    0.535, 0.331091
 194,    0.535, 0.335915
 195,    0.535, 0.339653
 196,    0.535, 0.339737
 197,    0.535, 0.337326
 198,    0.535, 0.334986
 199,    0.535, 0.336355
 200,    0.535, 0.333173
 201,    0.535, 0.332503
 202,    0.535, 0.337852
 203,    0.535, 0.338336
 204,    0.535,  0.33581
 205,    0.535, 0.337228
 206,   0.5478, 0.336082
 207,   0.5478, 0.336154
 208,   0.5478, 0.339066
 209,   0.5478, 0.334846
 210,   0.5478, 0.338239
 211,   0.5478, 0.335166
 212,   0.5478, 0.335759
 213,   0.5478, 0.336993
 214,   0.5478, 0.341771
 215,   0.5478, 0.349414
 216,   0.5478, 0.351811
 217,   0.5478, 0.349438
 218,   0.5478, 0.350594
 219,   0.5703, 0.349723
 220,   0.5703, 0.357187
 221,   0.5703, 0.353541
 222,   0.5703, 0.357146
 223,   0.5703, 0.359229
 224,   0.5703, 0.358787
 225,   0.5703, 0.358826
 226,   0.5703, 0.357266
 227,   0.5703, 0.355119
 228,   0.5703, 0.351553
 229,   0.5703, 0.356225
 230,   0.5703, 0.359039
 231,   0.5703, 0.356255
 232,   0.5703,  0.35532
 233,   0.5703,  0.35671
 234,   0.5703, 0.364231
 235,   0.5703, 0.370306
 236,   0.5703,  0.37002
 237,   0.5703, 0.366768
 238,   0.5703, 0.369305
 239,   0.5703, 0.369788
 240,   0.5703, 0.369793
 241,   0.5703,  0.36818
 242,   0.5703, 0.371601
 243,   0.5703, 0.374062
 244,   0.5703, 0.370272
 245,   0.5703, 0.372436
 246,   0.5766,  0.37078
 247,   0.5766, 0.372899
 248,   0.5766, 0.367317
 249,   0.5766, 0.375114
 250,   0.5766, 0.374425
 251,   0.5766, 0.373568
 252,   0.5766, 0.376087
 253,   0.5766, 0.380639
 254,   0.5766, 0.374812
 255,   0.5766, 0.384438
 256,   0.5766,  0.38528
 257,   0.5766,  0.37699
 258,   0.5766, 0.377369
 259,   0.5766, 0.379525
 260,   0.5766, 0.378486
 261,   0.5766, 0.381317
 262,   0.5766, 0.378112
 263,   0.5766, 0.379972
 264,   0.5766, 0.377551
 265,   0.5766, 0.379321
 266,   0.5766, 0.377591
 267,   0.5766, 0.377183
 268,   0.5766, 0.376491
 269,   0.5766, 0.371725
 270,   0.5766, 0.369914
 271,   0.5766, 0.368631
 272,   0.5766,  0.37128
 273,   0.5766, 0.370874
 274,   0.5766, 0.375598
 275,   0.5766, 0.375443
 276,   0.5766, 0.375372
 277,   0.5766, 0.376464
 278,   0.5766, 0.374142
 279,   0.5766, 0.374602
 280,   0.5766, 0.374036
 281,   0.5766, 0.374284
 282,   0.5766, 0.374936
 283,   0.5766, 0.374424
 284,   0.5766, 0.370628
 285,   0.5766, 0.380056
 286,   0.5766,  0.38346
 287,   0.5766, 0.380332
 288,   0.5766,   0.3831
 289,   0.5766, 0.384849
 290,   0.5959, 0.387841
 291,   0.5959,   0.3794
 292,   0.5959, 0.383557
 293,   0.5959, 0.384221
 294,   0.5959, 0.378102
 295,   0.5959, 0.383393
 296,   0.5959, 0.389057
 297,   0.5959, 0.392053
 298,   0.5959, 0.391908
 299,   0.5959, 0.391401
 300,   0.5959, 0.386364
 301,   0.5959, 0.384693
 302,   0.5959, 0.386704
 303,   0.5959, 0.383503
 304,   0.5959,  0.38311
 305,   0.5959, 0.384357
 306,   0.5959, 0.382398
 307,   0.5959, 0.385075
 308,   0.5959, 0.386678
 309,   0.5959, 0.382506
 310,   0.5959, 0.386271
 311,   0.5968, 0.388582
 312,   0.5968, 0.392169
 313,   0.5968, 0.389189
 314,   0.5968, 0.391237
 315,   0.5968, 0.389595
 316,   0.5968, 0.393205
