gen, roulette_float_twopoint_best, roulette_float_twopoint_ave
 186,   0.5379, 0.408499
 187,   0.5379,  0.40282
 188,   0.5379, 0.406424
 189,   0.5379, 0.402328
 190,   0.5379, 0.408748
 191,   0.5379, 0.406316
 192,   0.5379, 0.403479
 193,   0.5406, 0.402724
 194,   0.5406, 0.403032
 195,   0.5482, 0.405419
 196,   0.5482, 0.401345
 197,   0.5482, 0.395053
 198,   0.5482, 0.398776
 199,   0.5482, 0.396173
 200,   0.5482, 0.395146
 201,   0.5482, 0.391655
 202,   0.5482, 0.395387
 203,   0.5482, 0.391958
 204,   0.5482, 0.396312
 205,   0.5482,   0.3999
 206,   0.5482, 0.403912
 207,   0.5482, 0.400561
 208,   0.5482, 0.405072
 209,   0.5482,  0.40424
 210,   0.5482, 0.410645
 211,   0.5482, 0.409983
 212,   0.5482, 0.408516
 213,   0.5482, 0.406757
 214,   0.5482, 0.405589
 215,   0.5482, 0.396957
 216,   0.5482, 0.397266
 217,   0.5482, 0.396521
 218,   0.5482, 0.398959
 219,   0.5482, 0.398302
 220,   0.5482, 0.401679
 221,   0.5482, 0.402967
 222,   0.5482, 0.401095
 223,   0.5487, 0.401234
 224,   0.5558, 0.406806
 225,   0.5558,  0.41133
 226,   0.5558, 0.411031
 227,   0.5558, 0.414347
 228,   0.5558, 0.409784
 229,   0.5558, 0.413281
 230,   0.5558, 0.413271
 231,   0.5558,  0.40426
 232,   0.5558, 0.409126
 233,   0.5558, 0.409297
 234,   0.5558, 0.411599
 235,   0.5558, 0.407671
 236,   0.5558,  0.40962
 237,   0.5558, 0.419787
 238,   0.5571, 0.421633
 239,   0.5571, 0.416991
 240,   0.5571, 0.413334
 241,   0.5571, 0.411979
 242,   0.5571, 0.416593
 243,   0.5571, 0.417562
 244,   0.5571, 0.415773
 245,   0.5571, 0.414375
 246,   0.5571, 0.418096
 247,   0.5571, 0.416743
 248,   0.5571, 0.414925
 249,   0.5571, 0.414164
 250,   0.5571, 0.412295
 251,   0.5571, 0.418226
 252,   0.5571, 0.422603
 253,   0.5571, 0.421072
 254,   0.5571, 0.418319
 255,   0.5571, 0.417803
 256,   0.5571, 0.420874
 257,   0.5571, 0.421351
 258,   0.5571, 0.427509
 259,   0.5571, 0.426464
 260,   0.5571, 0.425427
 261,   0.5582, 0.429112
 262,   0.5582, 0.429762
 263,   0.5582, 0.428243
 264,   0.5582, 0.421844
 265,   0.5582, 0.420104
 266,   0.5582, 0.421701
 267,   0.5582, 0.421916
 268,   0.5582, 0.420031
 269,   0.5582,   0.4139
 270,   0.5598, 0.417488
 271,   0.5598, 0.420239
 272,   0.5598, 0.419186
 273,   0.5598, 0.417672
 274,   0.5598, 0.421766
 275,   0.5613, 0.423138
 276,   0.5613, 0.423112
 277,   0.5613, 0.424871
 278,   0.5613,  0.42611
 279,   0.5613,  0.42088
 280,   0.5613, 0.422563
 281,   0.5613, 0.424093
 282,   0.5613,  0.42228
 283,   0.5613, 0.426248
 284,   0.5613, 0.427328
 285,   0.5619, 0.423172
 286,   0.5619, 0.423651
 287,   0.5619, 0.426802
 288,   0.5619, 0.433135
 289,   0.5619,  0.43599
 290,   0.5619, 0.436744
 291,   0.5619, 0.438318
 292,   0.5619, 0.438329
 293,   0.5619,  0.43906
 294,   0.5619, 0.432645
 295,   0.5619, 0.443684
 296,   0.5619,   0.4316
 297,   0.5619, 0.432951
 298,   0.5619, 0.425021
 299,   0.5619, 0.423319
 300,   0.5669, 0.420013
 301,   0.5669, 0.418896
 302,   0.5669, 0.416991
 303,   0.5669, 0.415853
 304,   0.5669, 0.421021
 305,   0.5669,  0.42395
 306,   0.5669, 0.421344
 307,   0.5669, 0.410363
 308,   0.5669,  0.41242
 309,   0.5669,  0.41099
 310,   0.5669, 0.414683
 311,   0.5669, 0.413132
 312,   0.5669, 0.415781
 313,   0.5669,  0.41086
 314,   0.5669, 0.407914
 315,   0.5669, 0.406803
 316,   0.5669, 0.407108
 317,   0.5669, 0.412977
 318,   0.5669, 0.417259
 319,   0.5669, 0.422549
 320,   0.5669, 0.425443
 321,   0.5669, 0.430489
 322,   0.5669,  0.42682
 323,   0.5669, 0.425928
 324,   0.5669, 0.426293
 325,   0.5669, 0.419297
 326,   0.5669, 0.421469
 327,   0.5669, 0.414636
 328,   0.5669, 0.419374
 329,   0.5669, 0.425344
 330,   0.5669, 0.423388
 331,   0.5669, 0.426667
 332,   0.5669, 0.420227
 333,   0.5669, 0.413179
 334,   0.5669, 0.419571
 335,   0.5669, 0.424086
 336,   0.5786, 0.419904
 337,   0.5786, 0.423044
 338,   0.5786, 0.420018
 339,   0.5786, 0.419497
 340,   0.5786, 0.424282
 341,   0.5786, 0.427347
 342,   0.5786, 0.429253
 343,   0.5786, 0.434188
 344,   0.5786, 0.429566
 345,   0.5786, 0.424787
 346,   0.5786,  0.42249
 347,   0.5786,  0.42171
 348,   0.5786, 0.421749
 349,   0.5786, 0.419473
 350,   0.5786, 0.423645
 351,   0.5786,  0.42595
 352,   0.5786, 0.432102
 353,   0.5786, 0.433503
 354,   0.5786, 0.431204
 355,   0.5786, 0.428068
 356,   0.5786, 0.424788
 357,   0.5786, 0.426144
 358,   0.5786, 0.430698
 359,   0.5813, 0.437626
 360,   0.5813,   0.4383
 361,   0.5813, 0.432627
 362,   0.5813, 0.432007
 363,   0.5877, 0.427723
 364,   0.5877, 0.427435
 365,   0.5877, 0.433424
 366,   0.5877, 0.432492
 367,   0.5877, 0.432701
 368,   0.5877, 0.432271
 369,   0.5877, 0.431428
 370,   0.5877, 0.434231
 371,   0.5877, 0.437812
 372,   0.5877, 0.437215
 373,   0.5877,   0.4393
 374,   0.5877, 0.437033
 375,   0.5877, 0.435941
 376,   0.5877, 0.431722
 377,   0.5877, 0.430344
 378,   0.5877, 0.435158
 379,   0.5877, 0.425233
 380,   0.5877, 0.430254
 381,   0.5877, 0.425871
 382,   0.5877, 0.430213
 383,   0.5877, 0.434899
 384,   0.5877, 0.439203
 385,   0.5877, 0.433111
 386,   0.5892, 0.435262
 387,   0.5892, 0.439359
 388,   0.5892, 0.440549
 389,   0.5892, 0.434064
 390,   0.5987,  0.44073
 391,   0.6014, 0.439999
 392,   0.6014, 0.435988
 393,   0.6014, 0.439814
 394,   0.6014, 0.439909
 395,   0.6014, 0.426486
 396,   0.6014, 0.424948
 397,   0.6014, 0.418501
 398,   0.6014, 0.417493
 399,   0.6014, 0.420863
 400,   0.6014, 0.424035
 401,   0.6014, 0.422581
 402,   0.6016, 0.419489
 403,   0.6016, 0.415781
 404,   0.6016, 0.415704
 405,   0.6016, 0.423905
 406,   0.6016, 0.424246
 407,   0.6016, 0.421165
 408,   0.6016,  0.41987
 409,   0.6016, 0.422673
 410,   0.6098, 0.418897
 411,   0.6098, 0.424573
 412,   0.6098, 0.425665
 413,   0.6098, 0.429707
 414,   0.6098, 0.425579
 415,   0.6098,  0.42464
 416,   0.6098,  0.42735
 417,   0.6098, 0.438515
 418,   0.6098, 0.439277
 419,   0.6098, 0.431235
 420,   0.6098, 0.439526
 421,   0.6116, 0.434935
 422,   0.6116, 0.434038
 423,   0.6116, 0.433467
 424,   0.6116, 0.429238
 425,    0.616,   0.4338
