gen, roulette_scalar_uniform_best, roulette_scalar_uniform_ave
 186,   0.4831, 0.311468
 187,   0.5185, 0.310021
 188,   0.5185, 0.310044
 189,   0.5185, 0.305795
 190,   0.5185,  0.30518
 191,   0.5185, 0.306062
 192,   0.5185, 0.312678
 193,   0.5185, 0.315424
 194,   0.5185,  0.31248
 195,   0.5185, 0.312061
 196,   0.5185, 0.313495
 197,   0.5185, 0.314842
 198,   0.5185, 0.313879
 199,   0.5185, 0.313651
 200,   0.5185, 0.314407
 201,   0.5185, 0.310269
 202,   0.5185, 0.311453
 203,   0.5185, 0.308767
 204,   0.5185, 0.311682
 205,   0.4912, 0.318704
 206,   0.4912, 0.314045
 207,   0.4912, 0.316478
 208,   0.4912,  0.31109
 209,   0.4728, 0.313446
 210,   0.4728, 0.313042
 211,   0.4728, 0.311334
 212,   0.4728, 0.311627
 213,   0.4728, 0.316751
 214,   0.4728, 0.318339
 215,   0.4728, 0.319063
 216,   0.4728, 0.320764
 217,   0.4875, 0.322475
 218,   0.5086, 0.318738
 219,   0.5086, 0.323716
 220,   0.5086, 0.322454
 221,   0.5086,  0.32537
 222,   0.5086, 0.320944
 223,   0.5086, 0.319543
 224,   0.5086, 0.322497
 225,   0.5086, 0.325023
 226,   0.5086, 0.328123
 227,   0.5086, 0.326059
 228,   0.5086, 0.320247
 229,   0.5086, 0.323759
 230,   0.5086, 0.322462
 231,   0.5086, 0.327033
 232,   0.5086, 0.329121
 233,   0.5086, 0.327887
 234,   0.5086,  0.33402
 235,   0.5086, 0.329708
 236,   0.5242, 0.328703
 237,   0.5242, 0.324771
 238,   0.5242, 0.326611
 239,   0.5242, 0.329179
 240,   0.5302, 0.333187
 241,   0.5302, 0.333771
 242,   0.5422, 0.331125
 243,   0.5422, 0.327946
 244,   0.5422, 0.334599
 245,   0.5422, 0.332882
 246,   0.5422, 0.332379
 247,   0.5422, 0.329075
 248,   0.5422, 0.330825
 249,   0.5422, 0.337356
 250,   0.5422, 0.335018
 251,   0.5422, 0.339779
 252,   0.5422, 0.340649
 253,   0.5422, 0.334628
 254,   0.5422, 0.340214
 255,   0.5422, 0.338218
 256,   0.5422, 0.339044
 257,   0.5422,  0.33462
 258,   0.5422, 0.332611
 259,   0.5422, 0.338302
 260,   0.5309, 0.343262
 261,   0.5309, 0.338065
 262,   0.5309, 0.339527
 263,   0.5309, 0.346633
 264,   0.5309, 0.343709
 265,   0.5256, 0.345348
 266,   0.5256, 0.348986
 267,   0.5256, 0.350371
 268,   0.5256, 0.343416
 269,   0.5256, 0.339785
 270,   0.5358, 0.341845
 271,   0.5358, 0.336108
 272,   0.5358, 0.336729
 273,   0.5358, 0.347472
 274,   0.5358, 0.345573
 275,   0.5358,  0.35006
 276,   0.5358, 0.351935
 277,   0.5358, 0.350529
 278,   0.5358, 0.353012
 279,   0.5358, 0.349548
 280,   0.5358, 0.351108
 281,   0.5358, 0.344736
 282,   0.5358,  0.34565
 283,   0.5358, 0.353115
 284,   0.5358, 0.356993
 285,   0.5358,  0.35211
 286,   0.5358, 0.344718
 287,   0.5395, 0.339737
 288,   0.5395, 0.348221
 289,   0.5395, 0.342299
 290,   0.5395, 0.350862
 291,   0.5395, 0.351346
 292,   0.5395, 0.352398
 293,   0.5395, 0.348795
 294,   0.5395, 0.350304
 295,   0.5395, 0.350031
 296,   0.5589,  0.35017
 297,   0.5589, 0.357242
