gen, roulette_scalar_onepoint_best, roulette_scalar_onepoint_ave
 187,   0.5571, 0.393342
 188,    0.563, 0.399412
 189,    0.563, 0.396686
 190,    0.563, 0.394432
 191,    0.563, 0.390143
 192,   0.5615, 0.388256
 193,   0.5615, 0.390634
 194,   0.5619, 0.389031
 195,   0.5619,  0.38627
 196,   0.5619, 0.388863
 197,   0.5619, 0.393081
 198,   0.5774, 0.397734
 199,   0.5774, 0.398212
 200,   0.5774, 0.395452
 201,   0.5774, 0.393431
 202,   0.5774, 0.400093
 203,   0.5774, 0.404738
 204,   0.5774, 0.401566
 205,   0.5774, 0.401656
 206,   0.5774, 0.406376
 207,   0.5774, 0.401024
 208,   0.5774, 0.401895
 209,   0.5774, 0.406882
 210,   0.5774, 0.406808
 211,   0.5774, 0.407162
 212,   0.5774, 0.411533
 213,   0.5774, 0.412968
 214,   0.5774,  0.41876
 215,   0.5801, 0.418519
 216,   0.5801, 0.412748
 217,   0.5801,  0.41907
 218,   0.5717, 0.414068
 219,    0.586, 0.413777
 220,    0.586,  0.41473
 221,   0.5721,   0.4176
 222,   0.5721, 0.418536
 223,   0.5721, 0.414432
 224,   0.5721,  0.41791
 225,   0.5721, 0.414753
 226,   0.5721, 0.416833
 227,   0.5721, 0.412732
 228,   0.5721, 0.410699
 229,   0.5721, 0.414432
 230,   0.5721, 0.415976
 231,   0.5721, 0.421322
 232,   0.5721, 0.414848
 233,   0.5721, 0.415657
 234,   0.5701, 0.415201
 235,   0.5766, 0.418991
 236,   0.5803, 0.422644
 237,   0.5803, 0.425123
 238,   0.5794, 0.427716
 239,   0.5794, 0.425071
 240,   0.5794, 0.428559
 241,   0.5794, 0.425606
 242,   0.5794, 0.427559
 243,   0.5794, 0.423378
 244,   0.5829,  0.42709
 245,   0.5829, 0.432306
 246,   0.5791, 0.432357
 247,   0.5791,  0.42935
 248,   0.5844, 0.430268
 249,   0.5844, 0.434212
 250,   0.5844, 0.438049
 251,   0.5844, 0.437293
 252,   0.6026, 0.435065
 253,   0.6026, 0.435091
 254,   0.6026, 0.429914
 255,   0.6026,  0.43149
 256,    0.602, 0.431726
 257,    0.602, 0.434625
 258,    0.602, 0.427535
 259,    0.602, 0.427534
 260,    0.602, 0.431144
 261,    0.602, 0.430444
 262,    0.602, 0.433775
 263,    0.602, 0.428373
 264,    0.602, 0.430995
 265,    0.602, 0.433882
 266,    0.602, 0.429642
 267,    0.602, 0.427266
 268,    0.602, 0.431634
 269,    0.602, 0.431407
 270,    0.602, 0.427886
 271,    0.602, 0.431174
 272,    0.602,  0.42922
 273,    0.602, 0.422787
 274,    0.602, 0.426025
 275,    0.602, 0.431993
 276,    0.602, 0.428258
 277,    0.602,  0.43583
 278,    0.602, 0.435714
 279,    0.602, 0.434762
 280,    0.602, 0.430277
 281,    0.602, 0.434379
 282,    0.602, 0.436537
 283,    0.602, 0.438482
 284,    0.602,  0.43828
 285,    0.602, 0.439094
 286,    0.602, 0.437258
 287,    0.602, 0.439105
 288,    0.602, 0.438419
 289,    0.602, 0.438587
 290,    0.602, 0.438944
 291,    0.602, 0.436921
 292,    0.602, 0.434092
 293,    0.602, 0.439875
 294,    0.602, 0.438227
 295,    0.602,  0.44465
 296,    0.602, 0.434519
 297,    0.602,  0.43471
 298,    0.602, 0.433764
 299,    0.602, 0.434108
 300,    0.602, 0.430549
 301,    0.602, 0.432059
 302,    0.602,  0.44032
 303,    0.602, 0.442629
 304,    0.602, 0.447801
 305,    0.602, 0.444863
 306,   0.5978, 0.445553
 307,   0.5978, 0.450728
 308,   0.5978, 0.449963
 309,   0.5978,  0.44619
 310,   0.5978, 0.441294
 311,   0.5978,  0.44366
 312,   0.5978,  0.44082
 313,   0.5978, 0.443316
 314,   0.5978, 0.443253
 315,   0.5978, 0.446748
 316,   0.5978, 0.446082
 317,    0.601, 0.446281
 318,    0.601, 0.442663
 319,    0.601, 0.439263
 320,    0.601,  0.43626
 321,    0.601, 0.435376
 322,    0.601, 0.438897
 323,    0.601, 0.439506
 324,    0.601, 0.435714
 325,    0.607, 0.440468
 326,   0.6048, 0.440122
 327,   0.6048, 0.444519
 328,   0.6048, 0.444719
 329,   0.6048,   0.4435
 330,   0.6048, 0.442965
 331,   0.6106, 0.443146
 332,   0.6106, 0.434858
 333,   0.6106, 0.430362
 334,   0.6106, 0.433719
 335,   0.6106, 0.435169
 336,   0.6106, 0.439251
 337,   0.6106, 0.441752
 338,   0.6106, 0.450289
 339,   0.6106,  0.44812
 340,   0.6106, 0.449049
 341,   0.6106, 0.449111
 342,   0.6106, 0.447002
 343,   0.6106, 0.447462
 344,   0.6106, 0.448111
 345,   0.6106, 0.444254
 346,   0.6106, 0.443801
 347,   0.6106, 0.441074
 348,   0.6106, 0.441742
 349,   0.6106, 0.442641
 350,   0.6106, 0.444353
 351,   0.6106, 0.440049
 352,   0.6106, 0.441597
 353,   0.6114, 0.446525
 354,   0.6114, 0.447387
 355,   0.6114, 0.446304
 356,   0.6114, 0.445903
 357,   0.6114, 0.447625
 358,   0.6114, 0.447315
 359,   0.6114, 0.444074
 360,   0.6114, 0.444828
 361,   0.6114, 0.439192
 362,   0.6114, 0.441539
 363,   0.6114,  0.43922
 364,   0.6114, 0.439954
 365,   0.6114, 0.443635
 366,   0.6114, 0.452023
 367,   0.6114, 0.452498
 368,   0.6114, 0.452178
 369,    0.614, 0.449891
 370,    0.614, 0.444001
 371,    0.614,  0.44386
 372,    0.614, 0.445584
 373,    0.614,  0.44196
 374,    0.614, 0.444638
 375,    0.614, 0.444378
 376,    0.614, 0.447916
 377,    0.614, 0.442566
 378,    0.614, 0.444879
 379,    0.614, 0.444488
 380,    0.614, 0.442827
 381,    0.614, 0.446742
 382,    0.614, 0.441532
 383,    0.614, 0.439494
 384,    0.614, 0.438421
 385,    0.614, 0.437856
 386,    0.614, 0.437538
 387,    0.614, 0.446017
 388,   0.6234, 0.451608
 389,    0.615, 0.446341
 390,    0.615,  0.44209
 391,    0.615,  0.44984
 392,    0.615,  0.44893
 393,    0.615, 0.448832
 394,    0.615, 0.449008
 395,    0.615, 0.446958
 396,    0.615, 0.443562
 397,    0.615, 0.450627
 398,    0.615, 0.448668
 399,    0.615, 0.449548
 400,    0.615, 0.448116
 401,    0.615, 0.455752
 402,    0.615, 0.451835
 403,    0.615, 0.454579
 404,    0.615, 0.455605
 405,    0.615,  0.45331
 406,    0.615, 0.457159
 407,    0.615, 0.456723
 408,    0.615, 0.454597
 409,    0.615, 0.447906
 410,    0.615, 0.450156
 411,    0.615,  0.45015
 412,   0.6277, 0.448837
 413,   0.6277, 0.448304
 414,   0.6277, 0.458982
 415,   0.6277, 0.459873
 416,   0.6277, 0.452395
 417,   0.6277, 0.451507
 418,   0.6277,    0.452
 419,   0.6277, 0.455361
 420,   0.6277, 0.460149
 421,   0.6277, 0.459798
 422,   0.6277, 0.462605
 423,   0.6277, 0.459244
 424,   0.6277, 0.455063
 425,   0.6277, 0.451893
 426,   0.6277, 0.449443
 427,   0.6313, 0.455281
 428,   0.6313,    0.449
 429,   0.6319, 0.455605
 430,   0.6319, 0.450256
 431,   0.6319, 0.454628
 432,   0.6319, 0.455957
 433,   0.6319, 0.455519
 434,   0.6319, 0.456194
 435,   0.6319, 0.458017
 436,   0.6319, 0.455956
 437,   0.6319, 0.457812
 438,   0.6319, 0.463017
 439,   0.6319, 0.465087
 440,   0.6319, 0.467725
 441,   0.6319, 0.466231
 442,   0.6319, 0.460434
 443,   0.6319, 0.458338
 444,   0.6319, 0.464047
 445,   0.6319,  0.46238
 446,   0.6319, 0.459313
 447,    0.634, 0.464382
 448,    0.634, 0.465939
 449,    0.634, 0.460282
 450,    0.634, 0.461991
 451,    0.634, 0.459884
 452,    0.634, 0.457167
 453,    0.634, 0.461948
 454,    0.634, 0.467013
 455,    0.634, 0.465912
 456,    0.634, 0.463212
 457,    0.634, 0.462328
 458,    0.634, 0.460884
 459,    0.634, 0.451581
 460,    0.634, 0.462417
 461,   0.6382, 0.464663
 462,   0.6382,  0.46968
 463,   0.6382, 0.469973
 464,   0.6382,  0.46215
 465,   0.6397,  0.46359
 466,   0.6397, 0.468899
 467,   0.6397, 0.475646
 468,   0.6397, 0.469504
 469,   0.6397, 0.472788
 470,   0.6397,  0.46844
 471,   0.6397, 0.468098
 472,   0.6397, 0.467832
 473,   0.6397, 0.471104
 474,   0.6397, 0.471635
 475,   0.6397, 0.474479
 476,   0.6397, 0.469836
 477,   0.6397, 0.468487
 478,   0.6397, 0.473928
 479,   0.6397, 0.479282
 480,   0.6397, 0.482323
 481,   0.6397, 0.480138
 482,   0.6397, 0.482593
 483,   0.6397,   0.4795
 484,   0.6397, 0.469545
 485,   0.6397, 0.471011
 486,   0.6397,  0.46848
 487,   0.6397, 0.458931
 488,   0.6397, 0.455113
 489,   0.6397, 0.454412
 490,   0.6397, 0.458959
 491,   0.6397, 0.463805
 492,   0.6397, 0.466299
 493,   0.6397, 0.474474
 494,   0.6397, 0.471464
 495,   0.6397, 0.467054
 496,   0.6397, 0.473668
 497,   0.6397, 0.470484
 498,   0.6397, 0.475507
 499,   0.6397, 0.477955
 500,   0.6397, 0.472382
 501,   0.6397, 0.477976
 502,   0.6397, 0.473202
 503,   0.6397, 0.470543
 504,   0.6397, 0.475571
 505,   0.6397,  0.47645
 506,   0.6397, 0.477194
 507,   0.6397, 0.477588
 508,   0.6397, 0.481373
 509,   0.6397, 0.480646
 510,   0.6397, 0.492338
 511,   0.6397,  0.49083
 512,   0.6397, 0.485023
 513,   0.6397,  0.47937
 514,   0.6397,  0.47629
 515,   0.6397, 0.472813
 516,   0.6397, 0.469324
 517,   0.6397, 0.471335
 518,   0.6397, 0.473988
 519,   0.6397, 0.471551
 520,   0.6397, 0.474342
 521,   0.6397, 0.474583
 522,   0.6397, 0.475055
 523,   0.6397, 0.479642
 524,   0.6397, 0.481353
 525,   0.6397, 0.480475
 526,   0.6397, 0.482671
 527,   0.6458, 0.485236
 528,   0.6458, 0.481495
 529,   0.6458, 0.488943
 530,   0.6458,  0.48888
 531,   0.6458, 0.484737
 532,   0.6458, 0.485076
 533,   0.6458, 0.483946
 534,   0.6458, 0.476402
 535,   0.6458, 0.477446
 536,   0.6515, 0.482042
 537,   0.6515, 0.479716
 538,   0.6515, 0.479433
 539,   0.6515, 0.485817
 540,   0.6515, 0.485546
 541,   0.6515, 0.483237
 542,   0.6515, 0.482267
 543,   0.6515, 0.472831
 544,   0.6515, 0.472535
 545,   0.6515, 0.478987
 546,   0.6515, 0.478527
 547,   0.6515, 0.477986
 548,   0.6515, 0.482483
 549,   0.6515, 0.484659
 550,   0.6515, 0.478413
 551,   0.6515, 0.476622
 552,   0.6515, 0.480681
 553,   0.6515, 0.479052
 554,   0.6515, 0.477112
 555,   0.6515, 0.475695
 556,   0.6515, 0.475023
 557,   0.6515, 0.481783
 558,   0.6515, 0.474819
 559,   0.6515, 0.474683
 560,   0.6515, 0.472758
 561,   0.6515, 0.468822
 562,   0.6515, 0.468826
 563,   0.6515,  0.47176
 564,   0.6515, 0.477227
 565,   0.6515, 0.475049
 566,   0.6515, 0.473399
 567,   0.6515, 0.473538
 568,   0.6515, 0.470412
 569,   0.6515, 0.476209
 570,   0.6515, 0.475249
 571,   0.6515, 0.481455
 572,   0.6515, 0.476059
 573,   0.6515, 0.475094
 574,   0.6515, 0.481806
 575,   0.6515, 0.468418
 576,   0.6515, 0.468967
 577,   0.6529, 0.471996
 578,   0.6529, 0.470713
 579,   0.6529, 0.466489
 580,   0.6529, 0.462258
 581,   0.6529, 0.466174
 582,   0.6529, 0.464195
 583,   0.6529, 0.467793
 584,   0.6529, 0.464468
 585,   0.6529, 0.468021
 586,   0.6529, 0.463927
 587,   0.6529, 0.474301
 588,   0.6529, 0.473859
 589,   0.6529, 0.480895
 590,   0.6529, 0.477813
 591,   0.6529, 0.475565
 592,   0.6529, 0.472364
 593,   0.6529, 0.469928
 594,   0.6529, 0.468654
 595,   0.6529,  0.47314
 596,   0.6529, 0.469855
 597,   0.6529, 0.475133
 598,   0.6529, 0.469803
 599,   0.6529, 0.470129
 600,   0.6529,  0.46968
 601,   0.6529, 0.470547
 602,   0.6529, 0.464713
 603,   0.6529, 0.465667
 604,   0.6529, 0.478904
 605,   0.6529, 0.476406
 606,   0.6529, 0.479156
 607,   0.6529, 0.475969
 608,   0.6529, 0.475043
 609,   0.6529, 0.472483
 610,   0.6529, 0.482592
 611,   0.6529,  0.48559
 612,   0.6529, 0.485301
 613,   0.6529, 0.487595
 614,   0.6529, 0.485913
 615,   0.6529, 0.495147
 616,   0.6529, 0.485946
 617,   0.6529, 0.483352
 618,   0.6529,  0.48989
 619,   0.6529, 0.484611
 620,   0.6529, 0.482007
 621,   0.6529,  0.48862
 622,   0.6529, 0.484045
 623,   0.6495, 0.484749
 624,   0.6536, 0.480788
 625,   0.6536, 0.482798
 626,   0.6536, 0.478537
 627,   0.6536,  0.47319
 628,   0.6536, 0.471067
 629,   0.6536, 0.479187
 630,   0.6536, 0.471756
 631,   0.6536,  0.46675
 632,   0.6536, 0.469902
 633,   0.6536, 0.470356
 634,   0.6536, 0.466822
 635,   0.6536,  0.46158
 636,   0.6536,  0.47486
 637,   0.6536, 0.475181
 638,   0.6536, 0.479884
 639,   0.6536, 0.481053
 640,   0.6536, 0.479831
 641,   0.6536, 0.484434
 642,   0.6536, 0.478128
 643,   0.6536,  0.47252
 644,   0.6536, 0.476202
 645,   0.6536,  0.47515
 646,   0.6536, 0.478161
 647,   0.6536, 0.483847
 648,   0.6536, 0.482871
 649,    0.649, 0.488977
 650,    0.649, 0.483782
 651,    0.649, 0.482316
 652,    0.649, 0.476765
 653,    0.649, 0.475123
 654,    0.649, 0.471271
 655,    0.649, 0.468628
 656,    0.649, 0.474625
 657,    0.649, 0.476875
 658,    0.649, 0.475983
 659,    0.649,  0.47665
 660,    0.649, 0.470505
 661,    0.649, 0.471906
 662,    0.649, 0.471775
 663,    0.649, 0.467956
