gen, roulette_scalar_twopoint_best, roulette_scalar_twopoint_ave
 186,   0.5326,  0.37286
 187,   0.5326, 0.374454
 188,   0.5326, 0.383938
 189,   0.5326,  0.38253
 190,    0.543, 0.374523
 191,    0.543, 0.376534
 192,    0.543, 0.374632
 193,    0.543, 0.381873
 194,    0.543, 0.385877
 195,    0.543, 0.379054
 196,    0.543, 0.379284
 197,    0.543,  0.38085
 198,    0.543,  0.37636
 199,   0.5443, 0.378622
 200,   0.5443, 0.380687
 201,   0.5443, 0.383832
 202,   0.5506, 0.380633
 203,   0.5506, 0.372355
 204,   0.5506, 0.376619
 205,   0.5506, 0.377234
 206,   0.5506, 0.378256
 207,   0.5506, 0.374446
 208,   0.5506, 0.374507
 209,   0.5506, 0.372184
 210,   0.5506, 0.374479
 211,   0.5506, 0.367952
 212,   0.5506, 0.371574
 213,   0.5506, 0.369709
 214,   0.5506, 0.372465
 215,   0.5506, 0.377001
 216,   0.5506, 0.373928
 217,   0.5506, 0.372848
 218,   0.5506, 0.378361
 219,   0.5506, 0.376734
 220,   0.5506, 0.376302
 221,   0.5506, 0.370726
 222,   0.5506,  0.36511
 223,   0.5506, 0.370136
 224,   0.5506, 0.369267
 225,   0.5506, 0.369898
 226,   0.5506,  0.37761
 227,   0.5506, 0.376917
 228,   0.5506,  0.38335
 229,   0.5506, 0.376117
 230,   0.5506, 0.379912
 231,   0.5506, 0.372523
 232,   0.5506,  0.36937
 233,   0.5506, 0.373869
 234,   0.5506, 0.370714
 235,   0.5586, 0.372368
 236,   0.5648,   0.3781
 237,   0.5648, 0.377567
 238,   0.5648,   0.3822
 239,   0.5648, 0.385544
 240,   0.5648, 0.375625
 241,   0.5648, 0.372111
 242,   0.5648, 0.370252
 243,   0.5648, 0.377631
 244,   0.5648, 0.372059
 245,   0.5648, 0.377736
 246,   0.5685, 0.376767
 247,   0.5685, 0.385349
 248,   0.5691, 0.382068
 249,   0.5691, 0.388941
 250,   0.5691, 0.391161
 251,   0.5691, 0.396737
 252,   0.5691,  0.39303
 253,   0.5691, 0.388002
 254,   0.5691, 0.387457
 255,   0.5691, 0.391311
 256,   0.5691, 0.385864
 257,   0.5691, 0.384005
 258,   0.5753, 0.381783
 259,   0.5753, 0.383935
 260,   0.5753, 0.382372
 261,   0.5753, 0.391449
 262,   0.5753, 0.388133
 263,   0.5753, 0.394978
 264,   0.5753, 0.395898
 265,   0.5753, 0.405279
 266,   0.5882, 0.407419
 267,   0.5882, 0.410787
 268,   0.5882, 0.398879
 269,   0.5882, 0.389072
 270,   0.5882, 0.392604
 271,   0.5882, 0.396247
 272,   0.5882, 0.400739
 273,   0.5882, 0.400117
 274,   0.5882, 0.391872
 275,   0.5882,  0.38354
 276,   0.5882,  0.39162
 277,   0.5882, 0.391418
 278,   0.5882, 0.395885
 279,   0.5882, 0.396382
 280,   0.5882, 0.396247
 281,   0.5882, 0.394322
 282,   0.5882, 0.400802
 283,   0.5882, 0.398899
 284,   0.5882, 0.402593
 285,   0.6075,  0.40364
 286,   0.6075, 0.403149
 287,   0.6075, 0.403274
 288,   0.6075, 0.405634
 289,   0.6075, 0.402247
 290,   0.6075, 0.406215
 291,   0.6075,  0.41088
 292,   0.6075, 0.405508
 293,   0.6075, 0.407125
 294,   0.6075, 0.407483
 295,   0.6075, 0.411282
 296,   0.6075, 0.412047
 297,   0.6075, 0.422246
 298,   0.6075, 0.411959
 299,   0.6075, 0.403785
 300,   0.6075, 0.396715
 301,   0.6075, 0.404041
 302,   0.6148, 0.396394
 303,   0.6148, 0.396276
 304,   0.6148, 0.392827
 305,   0.6148, 0.395991
 306,   0.6148, 0.402755
 307,   0.6148, 0.398813
 308,   0.6148, 0.405232
 309,   0.6148,  0.40354
 310,   0.6142, 0.404538
 311,   0.6142, 0.404738
 312,   0.6142, 0.401736
 313,   0.6142, 0.413639
 314,   0.6142, 0.420451
 315,   0.6142, 0.423679
 316,   0.6142, 0.424218
 317,   0.6142, 0.426778
 318,   0.6142, 0.422184
 319,   0.6142, 0.420003
 320,   0.6142, 0.424525
 321,   0.6142, 0.428073
 322,   0.6142, 0.431185
 323,   0.6142,  0.42398
 324,   0.6179, 0.422842
 325,   0.6233, 0.431199
 326,   0.6319, 0.430903
 327,   0.6319, 0.421542
 328,   0.6319, 0.423869
 329,   0.6319, 0.424668
 330,   0.6319, 0.420477
 331,   0.6319, 0.423618
 332,   0.6319, 0.424273
 333,   0.6319, 0.417298
 334,   0.6319, 0.412002
 335,   0.6319, 0.412947
 336,   0.6319, 0.415626
 337,   0.6319, 0.418295
 338,   0.6319, 0.416502
 339,   0.6319, 0.411917
 340,   0.6319, 0.412509
 341,   0.6319, 0.410296
 342,   0.6319, 0.405499
 343,   0.6319, 0.405805
 344,   0.6319, 0.409615
 345,   0.6319, 0.413369
 346,   0.6319, 0.421109
 347,   0.6319, 0.419625
 348,   0.6319, 0.422517
 349,   0.6319, 0.429099
 350,   0.6319, 0.433981
 351,   0.6319, 0.429564
 352,   0.6319, 0.434348
 353,   0.6319, 0.434962
 354,   0.6319, 0.434525
 355,   0.6319, 0.430643
 356,   0.6319, 0.432729
 357,   0.6319, 0.425286
 358,   0.6319, 0.425636
 359,   0.6319, 0.429046
 360,   0.6423, 0.435454
 361,   0.6423, 0.430057
 362,   0.6423, 0.427128
 363,   0.6423, 0.431801
 364,   0.6423, 0.432954
 365,   0.6423, 0.427745
 366,   0.6423,  0.42176
 367,   0.6423, 0.413426
 368,   0.6423, 0.417418
 369,   0.6423,  0.41902
 370,   0.6423,  0.41738
 371,   0.6423, 0.420022
 372,   0.6423, 0.419097
 373,   0.6423, 0.428391
 374,   0.6423, 0.433311
 375,   0.6423, 0.432799
 376,   0.6423,  0.42366
 377,   0.6423, 0.429177
 378,   0.6423, 0.430801
 379,   0.6423, 0.435917
 380,   0.6423, 0.434974
 381,   0.6423, 0.435957
 382,   0.6423,  0.42909
 383,   0.6423, 0.430074
 384,   0.6423,  0.43317
 385,   0.6423, 0.435544
 386,   0.6423, 0.435205
 387,   0.6423, 0.427338
 388,   0.6423, 0.428256
 389,   0.6423, 0.427578
 390,   0.6423, 0.424213
 391,   0.6423, 0.423572
 392,   0.6423, 0.426118
 393,   0.6423,  0.43365
 394,   0.6423, 0.424574
 395,   0.6423, 0.431771
 396,   0.6423, 0.435626
 397,   0.6423, 0.439556
 398,   0.6423,  0.43845
 399,   0.6423, 0.443352
 400,   0.6423, 0.443469
 401,   0.6423, 0.446121
 402,   0.6423,  0.44532
 403,   0.6423,  0.43724
 404,   0.6423, 0.431906
 405,   0.6423, 0.432385
 406,   0.6423, 0.433466
 407,   0.6423, 0.431967
 408,   0.6498, 0.434345
 409,   0.6505, 0.436123
 410,   0.6505, 0.434009
 411,   0.6505, 0.428349
 412,   0.6505, 0.431858
 413,   0.6505, 0.435897
 414,   0.6505, 0.439183
 415,   0.6505, 0.436678
 416,   0.6505, 0.426529
 417,   0.6505, 0.431828
 418,   0.6505, 0.427043
 419,   0.6505, 0.430794
 420,   0.6505, 0.431507
 421,   0.6441, 0.433731
 422,   0.6441,  0.42519
 423,   0.6441, 0.431346
 424,   0.6441,  0.43483
 425,   0.6441, 0.446654
 426,   0.6441, 0.443099
 427,   0.6441, 0.438702
 428,   0.6441, 0.446658
 429,   0.6441, 0.440922
 430,   0.6441,  0.43685
 431,   0.6441, 0.439756
 432,   0.6441, 0.438127
 433,   0.6441, 0.435228
 434,   0.6441, 0.437726
 435,   0.6441, 0.447793
 436,   0.6441, 0.446864
 437,   0.6493, 0.443008
 438,   0.6493, 0.449331
 439,   0.6493, 0.450211
 440,   0.6493, 0.444647
 441,   0.6493, 0.437081
 442,   0.6493, 0.438195
 443,   0.6493, 0.449902
 444,   0.6493,  0.44773
 445,   0.6493,  0.44525
 446,   0.6493, 0.443935
 447,   0.6446,  0.44908
 448,   0.6446, 0.442516
 449,   0.6446, 0.439629
 450,   0.6446, 0.443886
 451,   0.6446, 0.434996
 452,   0.6596, 0.431234
 453,   0.6596, 0.437961
 454,   0.6596, 0.422575
 455,   0.6596, 0.432424
 456,   0.6596, 0.433069
 457,   0.6596,  0.43786
 458,   0.6596, 0.441887
 459,   0.6596, 0.445425
 460,   0.6596, 0.439111
 461,   0.6596, 0.442071
 462,   0.6596, 0.439184
 463,   0.6596,  0.44367
 464,   0.6596, 0.431078
 465,   0.6596, 0.435542
 466,   0.6596, 0.435446
 467,   0.6596, 0.444087
 468,   0.6596, 0.444681
 469,   0.6596, 0.446962
 470,   0.6596, 0.440989
 471,   0.6596, 0.443411
 472,   0.6578, 0.447841
 473,   0.6578, 0.441177
 474,   0.6578, 0.451203
 475,   0.6578, 0.446872
 476,   0.6578, 0.442823
 477,   0.6578,  0.44414
 478,    0.662, 0.445955
 479,    0.662, 0.441944
 480,    0.662, 0.443177
 481,    0.662, 0.434215
 482,    0.662,  0.43387
 483,    0.662, 0.438839
 484,    0.662, 0.438496
 485,    0.662, 0.440388
 486,    0.662, 0.441242
 487,    0.662, 0.444254
 488,   0.6697, 0.443069
 489,   0.6697, 0.440351
 490,   0.6697, 0.446221
 491,   0.6655, 0.442627
 492,   0.6655, 0.449098
 493,   0.6657, 0.449987
 494,   0.6657, 0.452908
 495,   0.6657, 0.452417
 496,   0.6657, 0.448907
 497,   0.6657, 0.446923
 498,   0.6657, 0.441765
 499,   0.6657, 0.444337
 500,   0.6657, 0.437206
 501,   0.6657, 0.442598
 502,   0.6657, 0.446581
 503,   0.6657, 0.438333
 504,   0.6657, 0.439884
 505,   0.6657, 0.436068
 506,   0.6657, 0.426627
 507,   0.6657, 0.430443
 508,   0.6657, 0.437367
 509,   0.6657, 0.446106
 510,   0.6657,  0.45963
 511,   0.6761, 0.465424
 512,   0.6761, 0.458091
 513,   0.6761,  0.45795
 514,   0.6761,  0.45263
 515,   0.6761, 0.456182
 516,   0.6761,  0.45195
 517,   0.6761, 0.451528
 518,   0.6761,   0.4515
 519,   0.6761, 0.448684
 520,   0.6761, 0.443328
 521,   0.6761, 0.441527
 522,   0.6761, 0.446326
 523,   0.6761, 0.439226
 524,   0.6761, 0.447019
 525,   0.6761, 0.447289
 526,   0.6761, 0.445994
 527,   0.6761, 0.439635
 528,   0.6761, 0.442252
 529,   0.6761, 0.446682
 530,   0.6761, 0.455314
 531,   0.6761, 0.449009
 532,   0.6761, 0.459572
 533,   0.6761, 0.460409
 534,   0.6761, 0.454501
 535,   0.6761,  0.45357
 536,   0.6761, 0.450112
 537,   0.6761, 0.448708
 538,   0.6761, 0.441447
 539,   0.6761, 0.440546
 540,   0.6761, 0.449979
 541,   0.6761, 0.451437
 542,   0.6789,  0.44767
 543,   0.6789, 0.456331
 544,   0.6789, 0.445895
 545,   0.6789, 0.446521
 546,   0.6789, 0.455281
 547,   0.6789, 0.456916
 548,   0.6789, 0.463252
 549,   0.6789, 0.454503
 550,   0.6789, 0.447477
 551,   0.6789, 0.457059
 552,   0.6789, 0.459412
 553,   0.6789, 0.465765
 554,   0.6789,  0.45103
 555,   0.6789, 0.458198
 556,   0.6789, 0.464556
 557,   0.6789,  0.45228
 558,   0.6789, 0.452042
 559,   0.6789, 0.447275
 560,   0.6789, 0.452047
 561,   0.6789, 0.455505
 562,   0.6789, 0.463431
 563,   0.6789, 0.473723
 564,   0.6789, 0.468551
 565,   0.6789, 0.463719
 566,   0.6789, 0.458986
 567,   0.6789, 0.458614
 568,   0.6789,  0.45542
 569,   0.6789, 0.457633
 570,   0.6789, 0.451129
 571,   0.6789, 0.458262
 572,   0.6789, 0.456861
 573,   0.6789,  0.45482
 574,   0.6789, 0.458784
 575,   0.6789, 0.461325
 576,   0.6789, 0.462152
 577,   0.6789,  0.45868
 578,   0.6789, 0.458899
 579,   0.6789, 0.452252
 580,   0.6789, 0.455914
 581,   0.6789, 0.458509
 582,   0.6789, 0.468735
 583,   0.6789, 0.466824
 584,   0.6789, 0.468192
 585,   0.6789, 0.468002
 586,   0.6789, 0.464363
 587,   0.6789,  0.46312
 588,   0.6789, 0.457251
 589,   0.6789,  0.46373
 590,   0.6789, 0.464732
 591,   0.6789, 0.466868
 592,   0.6789, 0.464551
 593,   0.6789, 0.463885
 594,   0.6789, 0.462332
 595,   0.6789, 0.467697
 596,   0.6789, 0.461792
 597,   0.6789, 0.465081
 598,   0.6789, 0.454179
 599,   0.6789, 0.459801
 600,   0.6799, 0.462659
 601,   0.6799, 0.454296
 602,   0.6799, 0.467873
 603,   0.6799,  0.47738
 604,   0.6799, 0.468991
 605,   0.6799, 0.472645
 606,   0.6799, 0.471398
 607,   0.6799, 0.478709
 608,   0.6799, 0.471948
 609,   0.6889, 0.468742
 610,   0.6889, 0.467755
 611,   0.6889, 0.463017
 612,   0.6889, 0.463387
 613,   0.6889, 0.460739
 614,   0.6889, 0.462558
 615,   0.6889, 0.462099
 616,   0.6889, 0.450495
 617,   0.6889, 0.451263
 618,   0.6752, 0.447592
 619,   0.6752, 0.459372
 620,   0.6752, 0.459807
 621,   0.6752, 0.463111
 622,   0.6752, 0.457582
 623,   0.6752, 0.457826
 624,   0.6752, 0.448528
 625,   0.6752,   0.4536
 626,   0.6752, 0.451694
 627,   0.6752, 0.453595
 628,   0.6752, 0.458492
 629,   0.6752, 0.458774
 630,   0.6752, 0.462106
 631,   0.6895, 0.457402
 632,   0.6895, 0.456054
 633,   0.6895, 0.458207
 634,   0.6895, 0.459652
 635,   0.6895, 0.457936
 636,   0.6895,  0.46037
 637,   0.6895, 0.459583
 638,   0.6895, 0.459405
 639,   0.6895, 0.463062
 640,   0.6895, 0.465764
 641,   0.6895, 0.463434
 642,   0.6895, 0.464729
 643,   0.6895, 0.469842
 644,   0.6895, 0.468613
 645,   0.6895, 0.468687
 646,   0.6895, 0.472061
 647,   0.6895, 0.477449
 648,   0.6895, 0.482591
 649,   0.6895, 0.474702
 650,   0.6895, 0.464617
 651,   0.6895, 0.465301
 652,   0.6895, 0.458253
 653,   0.6895, 0.445972
 654,   0.6895, 0.454015
 655,   0.6895, 0.449491
 656,   0.6895, 0.455333
 657,   0.6895, 0.458604
 658,   0.6895, 0.464348
 659,   0.6895,  0.46637
 660,   0.6895,  0.46878
 661,   0.6895, 0.467479
 662,   0.6895, 0.464947
 663,   0.6895, 0.467448
 664,   0.6895, 0.467156
 665,   0.6895, 0.479067
 666,   0.6895, 0.475502
 667,   0.6895, 0.476881
 668,   0.6895, 0.470952
 669,   0.6895, 0.469622
 670,   0.6895, 0.462074
 671,   0.7017, 0.461562
 672,   0.7017, 0.459462
 673,   0.7017,  0.46413
 674,   0.7017, 0.470473
 675,   0.7017, 0.469164
 676,   0.7017, 0.467665
 677,   0.7017, 0.468004
 678,   0.7017, 0.475918
 679,   0.7017, 0.475671
 680,   0.7017, 0.480734
 681,   0.7017, 0.485761
 682,   0.7017, 0.486293
 683,   0.7017,  0.47736
 684,   0.7017, 0.474521
 685,   0.7017, 0.475915
 686,   0.7017,  0.47613
 687,   0.7017,  0.47592
 688,   0.7017, 0.469911
 689,   0.7017, 0.471812
 690,   0.7017, 0.480067
 691,   0.7017, 0.480352
 692,   0.7017, 0.479878
 693,   0.7017, 0.476663
 694,   0.7017, 0.477226
 695,   0.7017, 0.474279
 696,   0.7017, 0.470266
 697,   0.7017, 0.468802
 698,   0.7017,  0.46824
 699,   0.7017, 0.467517
 700,   0.7017, 0.474363
 701,   0.7017, 0.479739
 702,   0.7017, 0.476029
 703,   0.7017, 0.480894
 704,   0.7017, 0.480343
 705,   0.7017, 0.476285
 706,   0.7017, 0.476447
 707,   0.7017, 0.476797
 708,   0.7017, 0.477978
 709,   0.7017, 0.472034
 710,   0.7017, 0.476869
 711,   0.7017, 0.474708
 712,   0.7017, 0.478016
 713,   0.7017, 0.474954
 714,   0.7017, 0.472396
 715,   0.7017, 0.472278
 716,   0.7017, 0.473122
 717,   0.7017, 0.474005
 718,   0.7017, 0.470805
 719,   0.7017, 0.469259
 720,   0.7017, 0.462676
 721,   0.7017, 0.470672
 722,   0.7017, 0.480958
 723,   0.7017, 0.486057
 724,   0.7017, 0.481288
 725,   0.7017, 0.470674
 726,   0.7017, 0.462309
 727,   0.7017, 0.463636
 728,   0.7017, 0.474856
 729,   0.7017, 0.482239
 730,   0.7017, 0.485556
 731,   0.7017, 0.493221
 732,   0.7017, 0.495034
 733,   0.7017, 0.501921
 734,   0.7017, 0.491062
 735,   0.7017, 0.484976
 736,   0.7017, 0.489033
 737,   0.7017, 0.485979
 738,   0.7017, 0.483687
 739,   0.7017, 0.486147
 740,   0.7017, 0.491989
 741,   0.7017, 0.487262
 742,   0.7017, 0.479639
 743,   0.7017, 0.480887
 744,   0.6986, 0.486962
 745,   0.6986, 0.495263
 746,   0.7005, 0.497164
 747,   0.7005, 0.491941
 748,   0.7037, 0.488504
 749,   0.7037, 0.493014
 750,   0.7037, 0.477333
 751,   0.7037, 0.482816
 752,   0.7037, 0.482624
 753,   0.7037, 0.484269
 754,   0.7037, 0.483963
 755,   0.7037, 0.487371
 756,   0.7037, 0.485078
 757,   0.7037, 0.479876
 758,   0.7037, 0.477059
 759,   0.7037, 0.475188
 760,   0.7037, 0.469137
 761,   0.7037,  0.48204
 762,   0.7037, 0.481393
 763,   0.7037, 0.486638
 764,   0.7037,  0.48977
 765,   0.7037, 0.493479
 766,   0.7037, 0.490097
 767,   0.7037, 0.492673
 768,   0.7037,  0.49611
 769,   0.7037,  0.49006
 770,   0.7037,   0.4963
 771,   0.7037, 0.488629
 772,   0.7037, 0.484433
 773,   0.7083, 0.483519
 774,   0.7083, 0.481809
 775,   0.7083, 0.485479
 776,   0.7083, 0.485985
 777,   0.7083, 0.483359
 778,   0.7083, 0.487061
 779,   0.7083, 0.481736
 780,   0.7083, 0.486414
 781,   0.7083, 0.482163
 782,   0.7083, 0.479796
 783,   0.7083, 0.484511
 784,   0.7083, 0.488237
 785,   0.7083, 0.483263
 786,   0.7083, 0.493638
 787,   0.7099, 0.487661
 788,   0.7099, 0.484244
 789,   0.7099,  0.48551
 790,   0.7099, 0.484589
 791,   0.7099, 0.494538
 792,   0.7099, 0.493912
 793,   0.7099, 0.499963
 794,   0.7099, 0.500927
 795,   0.7099, 0.490605
 796,   0.7099, 0.483708
 797,   0.7099, 0.486576
 798,   0.7176, 0.485412
 799,   0.7176, 0.484859
 800,   0.7176, 0.484091
 801,   0.7176, 0.487669
 802,   0.7176, 0.490291
 803,   0.7176,  0.49204
 804,   0.7176, 0.488485
 805,   0.7176, 0.478619
 806,   0.7176, 0.476885
 807,   0.7176, 0.481257
 808,   0.7176, 0.478756
 809,   0.7176, 0.484959
 810,   0.7176, 0.474559
 811,   0.7176, 0.471521
 812,   0.7176, 0.471188
 813,   0.7176, 0.480429
 814,   0.7176, 0.485634
 815,   0.7176, 0.480043
 816,   0.7176, 0.480096
 817,   0.7176, 0.493534
 818,   0.7176, 0.496171
 819,   0.7176, 0.487632
 820,   0.7176, 0.485541
 821,   0.7176, 0.495959
 822,   0.7176, 0.500284
 823,   0.7176, 0.495938
 824,   0.7176, 0.501703
 825,   0.7176, 0.496419
 826,   0.7176, 0.496397
 827,   0.7176, 0.498309
 828,   0.7176,  0.49044
 829,   0.7176, 0.493634
 830,   0.7176, 0.503153
 831,   0.7176, 0.494857
 832,   0.7176, 0.495041
 833,   0.7176, 0.492942
 834,   0.7176, 0.496087
 835,   0.7176, 0.495297
 836,   0.7176, 0.494168
 837,   0.7176, 0.490496
 838,   0.7176, 0.499096
 839,   0.7176, 0.500412
 840,   0.7107,  0.49602
 841,   0.7142, 0.495711
 842,   0.7142, 0.488114
 843,   0.7142, 0.484788
 844,   0.7142, 0.483207
 845,   0.7142, 0.476682
 846,   0.7142, 0.478146
 847,   0.7142, 0.486753
 848,   0.7142, 0.495863
 849,   0.7142, 0.492897
 850,   0.7142, 0.492519
 851,   0.7142, 0.494399
 852,   0.7142,  0.48895
 853,   0.7142, 0.490045
 854,   0.7142, 0.489069
 855,   0.7142, 0.502849
 856,   0.7191, 0.497784
 857,   0.7191, 0.490598
 858,   0.7191, 0.482736
 859,   0.7191, 0.476489
 860,   0.7191, 0.484159
 861,   0.7191, 0.484235
 862,   0.7191, 0.505108
 863,   0.7279,  0.49638
 864,   0.7279, 0.493679
