gen, tournament_binary_twopoint_best, tournament_binary_twopoint_ave
 186,   0.7196, 0.653005
 187,   0.7217, 0.651732
 188,   0.7217, 0.647999
 189,   0.7227, 0.652058
 190,   0.7227, 0.648844
 191,   0.7227, 0.657388
 192,   0.7245, 0.655362
 193,   0.7245, 0.654897
 194,   0.7245, 0.648664
 195,   0.7245, 0.649465
 196,   0.7245, 0.652429
 197,   0.7245, 0.653219
 198,   0.7245, 0.649003
 199,   0.7245, 0.653059
 200,   0.7245, 0.650512
 201,   0.7245, 0.647803
 202,   0.7245, 0.648355
 203,   0.7245, 0.653026
 204,   0.7245, 0.654065
 205,   0.7245, 0.653207
 206,   0.7249, 0.656553
 207,   0.7262, 0.653801
 208,   0.7262, 0.652243
 209,   0.7262, 0.649216
 210,   0.7262, 0.652291
 211,   0.7285, 0.654254
 212,   0.7285, 0.655466
 213,   0.7285, 0.654669
 214,   0.7285, 0.653168
 215,   0.7285, 0.648245
 216,   0.7316, 0.651692
 217,   0.7316, 0.654373
 218,   0.7316, 0.654256
 219,   0.7316, 0.658827
 220,   0.7316, 0.654863
 221,   0.7316, 0.657721
 222,   0.7316, 0.662001
 223,   0.7316, 0.664171
 224,   0.7316, 0.655901
 225,   0.7316, 0.658171
 226,   0.7316, 0.664137
 227,   0.7316, 0.659926
 228,   0.7318, 0.660364
 229,   0.7318, 0.660796
 230,   0.7318, 0.657098
 231,   0.7334, 0.664784
 232,   0.7334, 0.658826
 233,   0.7334, 0.658399
 234,   0.7334,  0.66068
 235,   0.7334, 0.657018
 236,   0.7334, 0.661284
 237,   0.7334, 0.660784
 238,   0.7334,   0.6561
 239,   0.7334, 0.663163
 240,   0.7334,  0.66344
 241,   0.7334, 0.661513
 242,   0.7334, 0.665477
 243,   0.7334, 0.658045
 244,   0.7334, 0.662635
 245,   0.7334, 0.661287
 246,   0.7334, 0.663599
 247,   0.7334,  0.66148
 248,   0.7334,  0.65727
 249,   0.7334, 0.663764
 250,   0.7334, 0.664602
 251,   0.7334, 0.662561
 252,   0.7386, 0.662505
 253,   0.7386, 0.655303
 254,   0.7386, 0.664143
 255,   0.7386,  0.66379
 256,   0.7386, 0.664381
 257,   0.7388, 0.664879
 258,   0.7406, 0.665488
 259,   0.7406, 0.663979
 260,   0.7406, 0.663945
 261,   0.7406, 0.666168
 262,   0.7406, 0.667624
 263,   0.7406, 0.664821
 264,   0.7406,  0.66721
 265,   0.7439, 0.665357
 266,   0.7439, 0.663866
 267,   0.7439, 0.664651
 268,   0.7439, 0.668885
 269,   0.7444, 0.671438
 270,   0.7444, 0.669361
 271,   0.7448, 0.670741
 272,   0.7448, 0.670134
 273,   0.7464,  0.67217
 274,   0.7464, 0.673864
 275,   0.7464, 0.676149
 276,   0.7464, 0.675313
 277,   0.7464, 0.675578
 278,   0.7464, 0.674928
 279,    0.747, 0.675038
 280,    0.747, 0.673319
 281,    0.747, 0.675341
 282,    0.747, 0.674501
