gen, tournament_scalar_uniform_best, tournament_scalar_uniform_ave
 186,   0.7271, 0.660612
 187,   0.7271, 0.659788
 188,   0.7271, 0.653934
 189,   0.7314, 0.651903
 190,   0.7314, 0.655426
 191,   0.7357, 0.660432
 192,   0.7357, 0.660079
 193,   0.7357,  0.66217
 194,   0.7357, 0.653693
 195,   0.7357, 0.659945
 196,   0.7337, 0.661035
 197,   0.7337, 0.657284
 198,   0.7337, 0.655706
 199,   0.7337, 0.656229
 200,   0.7346, 0.652858
 201,   0.7346, 0.655062
 202,   0.7313, 0.652801
 203,   0.7345, 0.657805
 204,   0.7326, 0.660326
 205,   0.7326, 0.656958
 206,   0.7365, 0.663722
 207,   0.7365, 0.666203
 208,   0.7353, 0.660295
 209,   0.7379, 0.662009
 210,   0.7416, 0.657966
 211,   0.7416, 0.662943
 212,   0.7416, 0.668502
 213,   0.7416, 0.668579
 214,   0.7415, 0.669255
 215,   0.7415, 0.666358
 216,    0.747, 0.668226
 217,    0.747, 0.672115
 218,   0.7452, 0.671734
 219,   0.7452, 0.675282
 220,   0.7452, 0.676423
 221,   0.7452, 0.673369
 222,   0.7452, 0.671169
 223,   0.7452, 0.675057
 224,   0.7452, 0.674275
 225,   0.7462, 0.672683
 226,   0.7466, 0.677134
 227,   0.7466,  0.67591
 228,   0.7466, 0.669942
 229,   0.7466, 0.672659
 230,   0.7442, 0.668428
 231,   0.7442, 0.672647
 232,   0.7442, 0.671684
 233,   0.7442, 0.669281
 234,   0.7442, 0.673807
 235,   0.7442, 0.677594
 236,   0.7442, 0.673233
 237,   0.7442, 0.670231
 238,   0.7442, 0.671757
 239,   0.7442,  0.67223
 240,   0.7442, 0.671171
 241,   0.7501, 0.673526
 242,   0.7501,  0.67655
 243,   0.7501, 0.677984
 244,   0.7501, 0.667858
 245,   0.7501, 0.671151
 246,   0.7501,   0.6692
 247,   0.7501, 0.675587
 248,   0.7501, 0.669035
 249,   0.7501, 0.677947
 250,   0.7501, 0.676104
 251,   0.7501, 0.680453
 252,   0.7501, 0.672016
 253,   0.7501, 0.673851
 254,   0.7501, 0.677822
 255,   0.7501, 0.675381
 256,   0.7501, 0.681813
 257,    0.749, 0.671589
 258,    0.749, 0.673346
 259,    0.749, 0.670402
 260,   0.7457, 0.676499
 261,   0.7457, 0.680659
 262,   0.7457, 0.676806
 263,   0.7531, 0.668132
 264,   0.7531, 0.674641
 265,   0.7531, 0.673162
 266,   0.7531, 0.675373
 267,   0.7531, 0.676853
 268,   0.7531, 0.676476
 269,   0.7531, 0.678811
 270,     0.75, 0.685234
