gen, tournament_scalar_onepoint_best, tournament_scalar_onepoint_ave
 186,   0.6406, 0.593921
 187,   0.6406, 0.599867
 188,   0.6373, 0.593002
 189,   0.6406, 0.596515
 190,   0.6406, 0.584546
 191,   0.6407, 0.593308
 192,   0.6407, 0.598568
 193,   0.6427, 0.597874
 194,   0.6427, 0.597104
 195,   0.6427,   0.6003
 196,   0.6427, 0.594793
 197,   0.6427,  0.59937
 198,   0.6427, 0.593447
 199,   0.6408, 0.592268
 200,   0.6408, 0.596563
 201,   0.6408, 0.597314
 202,   0.6409, 0.597747
 203,   0.6418,  0.59587
 204,   0.6418, 0.594201
 205,   0.6412, 0.596511
 206,   0.6412, 0.597661
 207,   0.6412, 0.594135
 208,   0.6412,   0.5994
 209,   0.6412,   0.5872
 210,   0.6385, 0.593289
 211,   0.6385, 0.591193
 212,   0.6379, 0.596597
 213,   0.6379, 0.594641
 214,   0.6381, 0.593002
 215,   0.6381, 0.595937
 216,   0.6381, 0.593366
 217,   0.6381, 0.591248
 218,   0.6381, 0.592053
 219,    0.637, 0.591045
 220,    0.637, 0.591286
 221,    0.637, 0.591581
 222,    0.637, 0.592852
 223,   0.6357,  0.58861
 224,   0.6357, 0.588947
 225,   0.6368,   0.5916
 226,   0.6368, 0.587954
 227,   0.6357, 0.590231
 228,   0.6365, 0.592856
 229,   0.6365, 0.592329
 230,   0.6376, 0.592033
 231,    0.637, 0.598827
 232,   0.6397, 0.588382
 233,   0.6397,  0.59236
 234,   0.6417, 0.594038
 235,   0.6404, 0.593781
 236,   0.6404, 0.595141
 237,   0.6404, 0.593113
 238,   0.6404, 0.594214
 239,   0.6404, 0.593859
 240,   0.6404, 0.590756
 241,   0.6404, 0.595089
 242,   0.6404, 0.590697
 243,   0.6404, 0.599585
 244,   0.6404, 0.597879
 245,   0.6404, 0.591147
 246,   0.6404, 0.593464
 247,   0.6404, 0.589789
 248,   0.6404, 0.596428
 249,   0.6404, 0.590351
 250,   0.6404, 0.593728
 251,   0.6404, 0.591637
 252,   0.6404, 0.589698
 253,   0.6404, 0.589189
 254,   0.6461, 0.596803
 255,   0.6422, 0.591368
 256,   0.6438, 0.596991
 257,   0.6438, 0.598053
 258,   0.6426, 0.599261
 259,   0.6426, 0.592153
 260,   0.6426, 0.602198
 261,   0.6426, 0.596752
 262,   0.6426, 0.599361
 263,   0.6439, 0.602758
 264,   0.6439, 0.594065
 265,   0.6439, 0.596523
 266,   0.6454, 0.587448
 267,   0.6441, 0.600721
 268,   0.6454, 0.595383
 269,   0.6454, 0.598545
 270,   0.6454, 0.601076
 271,   0.6454, 0.595959
 272,    0.644, 0.590665
