gen, tournament_binary_uniform_best, tournament_binary_uniform_ave
 186,   0.7546, 0.703183
 187,   0.7546, 0.705857
 188,   0.7546, 0.703048
 189,   0.7546, 0.706122
 190,   0.7546, 0.706002
 191,   0.7546, 0.707525
 192,   0.7546, 0.704618
 193,   0.7546, 0.709653
 194,   0.7549, 0.702366
 195,   0.7549, 0.703274
 196,   0.7552, 0.706895
 197,   0.7552, 0.706204
 198,   0.7552, 0.704275
 199,   0.7552,  0.70482
 200,   0.7552,  0.70648
 201,   0.7552, 0.705603
 202,   0.7552, 0.704892
 203,   0.7552, 0.706827
 204,   0.7552, 0.702861
 205,   0.7552, 0.706605
 206,   0.7555, 0.704718
 207,   0.7555, 0.705868
 208,   0.7555,  0.70549
 209,   0.7555, 0.707472
 210,   0.7555, 0.706356
 211,   0.7555, 0.706777
 212,   0.7555, 0.704885
 213,   0.7555, 0.707123
 214,   0.7555, 0.707243
 215,   0.7555, 0.705242
 216,   0.7555, 0.706712
 217,   0.7557, 0.706953
 218,   0.7557, 0.706958
 219,   0.7557, 0.705941
 220,   0.7557, 0.705267
 221,   0.7558, 0.707442
 222,   0.7558, 0.704233
 223,   0.7558,  0.70544
 224,   0.7559, 0.703591
 225,   0.7559,  0.70363
 226,   0.7559, 0.705142
 227,   0.7559, 0.705031
 228,   0.7559, 0.707816
 229,   0.7559, 0.704461
 230,   0.7559, 0.703089
 231,   0.7559,  0.70729
 232,    0.756, 0.702911
 233,    0.756, 0.705554
 234,    0.756, 0.704095
 235,    0.756, 0.704917
 236,    0.756, 0.711128
 237,    0.756, 0.705142
 238,    0.756,  0.70551
 239,    0.756, 0.706175
 240,    0.756, 0.703557
 241,    0.756, 0.702634
 242,    0.756, 0.705786
 243,   0.7564, 0.704388
 244,   0.7564,  0.70545
 245,   0.7564, 0.699158
 246,   0.7564, 0.704337
 247,   0.7568, 0.704653
 248,   0.7568, 0.703151
 249,   0.7568, 0.705315
 250,   0.7568, 0.710292
 251,   0.7584, 0.706788
 252,   0.7584, 0.705779
 253,   0.7584, 0.703221
 254,   0.7584, 0.702607
 255,    0.759, 0.703104
 256,    0.759, 0.705448
 257,    0.759, 0.705746
 258,    0.759, 0.708498
 259,    0.759,  0.70558
 260,    0.759, 0.708486
 261,   0.7608,  0.70859
 262,   0.7608,  0.70816
 263,   0.7608, 0.709011
 264,   0.7611,  0.70987
 265,   0.7611, 0.709161
 266,   0.7611, 0.710962
 267,   0.7611, 0.711241
 268,   0.7611, 0.709174
 269,   0.7611,  0.70766
 270,   0.7611, 0.711694
 271,   0.7611, 0.707227
 272,   0.7611, 0.707732
 273,   0.7611, 0.709003
 274,   0.7611, 0.708941
 275,   0.7617, 0.711199
 276,   0.7617, 0.707411
 277,   0.7617, 0.711498
 278,   0.7621, 0.713718
 279,   0.7621, 0.707515
 280,   0.7621, 0.713674
 281,   0.7621, 0.709447
 282,   0.7621, 0.712994
 283,   0.7621, 0.709699
 284,   0.7621, 0.713479
 285,   0.7625, 0.712205
 286,   0.7625, 0.711428
 287,   0.7625, 0.715733
 288,   0.7625, 0.712548
 289,   0.7625, 0.710495
 290,   0.7625, 0.712067
 291,    0.764, 0.712656
 292,    0.764, 0.710944
 293,    0.764, 0.713979
 294,    0.764, 0.714624
 295,    0.764, 0.712551
 296,    0.764, 0.710316
 297,   0.7641, 0.712994
 298,   0.7641, 0.712629
 299,   0.7642, 0.713305
 300,   0.7646, 0.713913
 301,   0.7646, 0.717372
 302,   0.7646, 0.712729
 303,   0.7646, 0.714234
 304,   0.7646, 0.713302
 305,   0.7646, 0.714485
 306,   0.7646, 0.714849
 307,   0.7651, 0.711035
 308,   0.7651, 0.713435
 309,   0.7651, 0.711994
 310,   0.7651, 0.711673
 311,   0.7651, 0.713645
 312,   0.7651, 0.712881
 313,   0.7651, 0.716004
 314,   0.7651, 0.711699
 315,   0.7651, 0.714763
 316,   0.7651, 0.713465
 317,   0.7651, 0.714221
 318,   0.7651, 0.715995
 319,   0.7651, 0.715952
 320,   0.7651, 0.711828
 321,   0.7651, 0.714715
 322,   0.7651, 0.712581
 323,   0.7651, 0.713312
 324,   0.7651, 0.715259
 325,   0.7652, 0.718475
 326,   0.7652, 0.715958
 327,   0.7652, 0.715803
 328,   0.7652, 0.714401
 329,   0.7652, 0.717248
 330,   0.7653, 0.715652
 331,   0.7653, 0.716074
 332,   0.7653, 0.712017
 333,   0.7653, 0.711459
 334,   0.7653, 0.712411
 335,   0.7653, 0.714589
 336,   0.7653, 0.717764
 337,   0.7653, 0.715336
 338,   0.7653, 0.719042
 339,   0.7653, 0.710805
 340,   0.7653, 0.716926
 341,   0.7653, 0.715705
 342,   0.7653, 0.713281
 343,   0.7653, 0.714824
 344,   0.7653, 0.714829
 345,   0.7653, 0.713555
 346,   0.7653, 0.715136
 347,   0.7657, 0.714593
 348,   0.7657, 0.714863
 349,   0.7657, 0.717656
 350,   0.7657, 0.713002
 351,   0.7657, 0.718096
 352,   0.7657,   0.7138
 353,   0.7657, 0.716308
 354,   0.7657, 0.717532
 355,   0.7657, 0.718336
 356,   0.7657,    0.717
 357,   0.7657, 0.714044
 358,   0.7657, 0.713044
 359,   0.7657, 0.714628
 360,   0.7661, 0.714337
 361,   0.7661, 0.715084
 362,   0.7661, 0.719458
 363,   0.7664, 0.716523
 364,   0.7664, 0.717092
 365,   0.7664, 0.716653
 366,   0.7664, 0.720255
 367,   0.7664, 0.717493
 368,   0.7664, 0.717108
 369,   0.7664, 0.715666
 370,   0.7671, 0.716559
 371,   0.7671, 0.717542
 372,   0.7672, 0.716206
 373,   0.7672, 0.714387
 374,   0.7672, 0.718485
 375,   0.7672, 0.718313
 376,   0.7672, 0.715041
 377,   0.7672, 0.716271
 378,   0.7675, 0.715492
 379,   0.7675, 0.717991
 380,   0.7676, 0.716874
 381,   0.7676, 0.716956
 382,   0.7676, 0.719446
 383,   0.7676, 0.718988
 384,   0.7676, 0.716215
 385,   0.7676, 0.716067
 386,   0.7676, 0.718429
 387,   0.7676, 0.719788
 388,   0.7676, 0.717807
 389,   0.7676, 0.715968
 390,   0.7681, 0.718542
 391,   0.7681, 0.714806
 392,   0.7681, 0.717902
 393,   0.7681, 0.716119
 394,   0.7681, 0.722909
 395,   0.7681, 0.718228
 396,   0.7681, 0.718156
 397,   0.7681, 0.717028
 398,   0.7681, 0.717541
 399,   0.7681, 0.718311
 400,   0.7681, 0.717237
 401,   0.7681, 0.717077
 402,   0.7681, 0.718391
 403,   0.7681, 0.717834
