gen, tournament_ternary_uniform_best, tournament_ternary_uniform_ave
 186,   0.7679, 0.709624
 187,   0.7679, 0.714114
 188,   0.7697, 0.715311
 189,   0.7697, 0.714616
 190,   0.7697, 0.716909
 191,     0.77, 0.717467
 192,   0.7708, 0.719141
 193,   0.7711, 0.719946
 194,   0.7711, 0.719562
 195,   0.7711, 0.720297
 196,   0.7711, 0.716765
 197,   0.7711, 0.718394
 198,   0.7711, 0.719709
 199,   0.7711, 0.715499
 200,   0.7711, 0.721542
 201,   0.7711, 0.719895
 202,   0.7731, 0.721674
 203,   0.7731, 0.721345
 204,   0.7731, 0.720385
 205,   0.7731, 0.718556
 206,   0.7738, 0.716802
 207,   0.7738, 0.720418
 208,   0.7738, 0.720737
 209,   0.7738, 0.719003
 210,   0.7738, 0.718647
 211,   0.7738, 0.717673
 212,   0.7738, 0.714767
 213,   0.7747, 0.723486
 214,   0.7747, 0.721949
 215,   0.7747, 0.719517
 216,   0.7752, 0.722066
 217,   0.7752, 0.719669
 218,   0.7752, 0.720739
 219,   0.7754, 0.722687
 220,   0.7754, 0.721712
 221,    0.777,  0.72153
 222,    0.777,  0.72177
 223,    0.777, 0.722367
 224,    0.777, 0.723131
 225,    0.777, 0.724943
 226,    0.777, 0.720944
 227,    0.777, 0.721444
 228,    0.777, 0.724894
 229,    0.777, 0.722683
 230,    0.777,  0.72076
 231,    0.777, 0.725058
 232,    0.777,  0.72611
 233,    0.777, 0.724956
 234,    0.777, 0.723591
 235,    0.777, 0.723543
 236,    0.777, 0.725107
 237,    0.777, 0.726063
 238,    0.778, 0.722978
 239,    0.778, 0.718989
 240,    0.778, 0.725228
 241,    0.778, 0.718863
 242,   0.7786, 0.725565
 243,   0.7786, 0.728115
 244,   0.7788, 0.726932
 245,   0.7788, 0.727525
 246,   0.7788, 0.724698
 247,   0.7788, 0.724606
 248,   0.7788, 0.725571
 249,   0.7788, 0.725451
 250,   0.7788, 0.725214
 251,   0.7788, 0.721131
 252,   0.7788, 0.722116
 253,   0.7788, 0.724481
 254,   0.7788, 0.727108
 255,   0.7788, 0.723752
 256,   0.7788, 0.722849
 257,   0.7802, 0.725301
 258,   0.7802, 0.720598
 259,   0.7802, 0.726534
 260,   0.7802, 0.729409
 261,   0.7802, 0.729074
 262,   0.7802, 0.730386
 263,   0.7807, 0.728978
 264,   0.7807, 0.729094
 265,   0.7807, 0.727962
 266,    0.783, 0.729623
 267,    0.783, 0.726687
 268,    0.783, 0.730935
 269,    0.783, 0.729048
 270,    0.783, 0.724843
 271,    0.783, 0.727547
 272,    0.783, 0.728215
 273,    0.783, 0.729525
 274,    0.783, 0.725045
 275,    0.783, 0.731799
 276,    0.783, 0.731075
 277,    0.783, 0.733988
 278,    0.783, 0.729078
 279,    0.783, 0.728251
